prompt,label,prompt_corr,cot_gold,pred,cot_pred,correct_pred,correct_cot
"Answer True or False to the following question. Answer as in the examples.

Dumpuses are numpuses. Impuses are jompuses. Each yumpus is not spicy. Every dumpus is mean. Lorpuses are snowy. Each lempus is not transparent. Numpuses are tumpuses. Numpuses are moderate. Every tumpus is luminous. Jompuses are not blue. Impuses are gorpuses. Every gorpus is not hot. Each dumpus is a yumpus. Every gorpus is a lempus. Lorpuses are sterpuses. Every impus is muffled. Every numpus is an impus. Gorpuses are rompuses. Polly is an impus. Polly is a lorpus.
Question: Is Polly muffled?
Think step-by-step.

(1) Every impus is muffled.
(2) Polly is an impus.
(3) Polly is muffled.
Answer: True

Gorpuses are sterpuses. Gorpuses are grimpuses. Every dumpus is a jompus. Every grimpus is a shumpus. Gorpuses are not small. Sterpuses are liquid. Every shumpus is not muffled. Dumpuses are bright. Each grimpus is a brimpus. Every grimpus is not cold. Wren is a dumpus. Wren is a grimpus.
Question: Is Wren cold?
Think step-by-step.

",False,"Answer True or False to the following question. Answer as in the examples.

Dumpuses are numpuses. Impuses are jompuses. Each yumpus is not spicy. Every dumpus is mean. Lorpuses are snowy. Each lempus is not transparent. Numpuses are tumpuses. Numpuses are moderate. Every tumpus is luminous. Jompuses are not blue. Impuses are gorpuses. Every gorpus is not hot. Each dumpus is a yumpus. Every gorpus is a lempus. Lorpuses are sterpuses. Every impus is muffled. Every numpus is an impus. Gorpuses are rompuses. Polly is an impus. Polly is a lorpus.
Question: Is Polly muffled?
Think step-by-step.

(1) Every impus is muffled.
(2) Polly is an impus.
(3) Polly is muffled.
Answer: True

Gorpuses are sterpuses. Gorpuses are grimpuses. Every dumpus is a jompus. Every grimpus is a shumpus. Gorpuses are not small. Sterpuses are liquid. Every shumpus is not muffled. Dumpuses are bright. Each grimpus is a brimpus. Every grimpus is cold. Wren is a dumpus. Wren is a grimpus.
Question: Is Wren cold?
Think step-by-step.

","['Every grimpus is not cold.', 'Wren is a grimpus.', 'Wren is not cold.']",True,"['Every grimpus is a brimpus.', 'Wren is a grimpus.', 'Wren is cold.']",False,False
"Answer True or False to the following question. Answer as in the examples.

Yumpuses are grimpuses. Impuses are sterpuses. Sterpuses are dumpuses. Each sterpus is a numpus. Each impus is windy. Lempuses are melodic. Rompuses are lorpuses. Rompuses are not earthy. Numpuses are sweet. Rompuses are impuses. Sterpuses are transparent. Every yumpus is not dull. Lorpuses are luminous. Impuses are lempuses. Alex is a rompus. Alex is a yumpus.
Question: Is Alex earthy?
Think step-by-step.

(1) Rompuses are not earthy.
(2) Alex is a rompus.
(3) Alex is not earthy.
Answer: False

Impuses are not orange. Each rompus is a tumpus. Each lorpus is a dumpus. Each tumpus is large. Every tumpus is a lorpus. Lorpuses are not luminous. Numpuses are not bitter. Every impus is a jompus. Lorpuses are numpuses. Every numpus is a yumpus. Lempuses are melodic. Vumpuses are not angry. Each tumpus is a vumpus. Each yumpus is bright. Rompuses are lempuses. Dumpuses are not hot. Numpuses are zumpuses. Every rompus is not fast. Polly is a lorpus. Polly is an impus.
Question: Is Polly luminous?
Think step-by-step.

",False,"Answer True or False to the following question. Answer as in the examples.

Yumpuses are grimpuses. Impuses are sterpuses. Sterpuses are dumpuses. Each sterpus is a numpus. Each impus is windy. Lempuses are melodic. Rompuses are lorpuses. Rompuses are not earthy. Numpuses are sweet. Rompuses are impuses. Sterpuses are transparent. Every yumpus is not dull. Lorpuses are luminous. Impuses are lempuses. Alex is a rompus. Alex is a yumpus.
Question: Is Alex earthy?
Think step-by-step.

(1) Rompuses are not earthy.
(2) Alex is a rompus.
(3) Alex is not earthy.
Answer: False

Impuses are not orange. Each rompus is a tumpus. Each lorpus is a dumpus. Each tumpus is large. Every tumpus is a lorpus. Lorpuses are luminous. Numpuses are not bitter. Every impus is a jompus. Lorpuses are numpuses. Every numpus is a yumpus. Lempuses are melodic. Vumpuses are not angry. Each tumpus is a vumpus. Each yumpus is bright. Rompuses are lempuses. Dumpuses are not hot. Numpuses are zumpuses. Every rompus is not fast. Polly is a lorpus. Polly is an impus.
Question: Is Polly luminous?
Think step-by-step.

","['Lorpuses are not luminous.', 'Polly is a lorpus.', 'Polly is not luminous.']",False,"['Impuses are not orange.', 'Polly is a lorpus.', 'Polly is not orange.']",True,False
"Answer True or False to the following question. Answer as in the examples.

Each yumpus is not transparent. Each shumpus is loud. Every impus is a brimpus. Every shumpus is a tumpus. Each impus is a yumpus. Every impus is not shy. Alex is an impus. Alex is a shumpus.
Question: Is Alex shy?
Think step-by-step.

(1) Every impus is not shy.
(2) Alex is an impus.
(3) Alex is not shy.
Answer: False

Wumpuses are bitter. Each grimpus is a zumpus. Tumpuses are small. Every wumpus is an impus. Grimpuses are not transparent. Wumpuses are tumpuses. Max is a grimpus. Max is a wumpus.
Question: Is Max bitter?
Think step-by-step.

",True,"Answer True or False to the following question. Answer as in the examples.

Each yumpus is not transparent. Each shumpus is loud. Every impus is a brimpus. Every shumpus is a tumpus. Each impus is a yumpus. Every impus is not shy. Alex is an impus. Alex is a shumpus.
Question: Is Alex shy?
Think step-by-step.

(1) Every impus is not shy.
(2) Alex is an impus.
(3) Alex is not shy.
Answer: False

Wumpuses are not bitter. Each grimpus is a zumpus. Tumpuses are small. Every wumpus is an impus. Grimpuses are not transparent. Wumpuses are tumpuses. Max is a grimpus. Max is a wumpus.
Question: Is Max bitter?
Think step-by-step.

","['Wumpuses are bitter.', 'Max is a wumpus.', 'Max is bitter.']",True,"['Every wumpus is an impus.', 'Max is a grimpus.', 'Max is not bitter.']",True,False
"Answer True or False to the following question. Answer as in the examples.

Shumpuses are gorpuses. Shumpuses are shy. Each grimpus is dull. Numpuses are slow. Each numpus is a lempus. Every yumpus is a jompus. Every rompus is not metallic. Each numpus is a grimpus. Each lorpus is amenable. Wumpuses are fruity. Each jompus is muffled. Every shumpus is a numpus. Dumpuses are vumpuses. Each dumpus is transparent. Each brimpus is orange. Jompuses are shumpuses. Lorpuses are yumpuses. Jompuses are rompuses. Gorpuses are snowy. Yumpuses are wumpuses. Yumpuses are temperate. Each lorpus is a brimpus. Fae is a dumpus. Fae is a jompus.
Question: Is Fae muffled?
Think step-by-step.

(1) Each jompus is muffled.
(2) Fae is a jompus.
(3) Fae is muffled.
Answer: True

Each impus is a sterpus. Each zumpus is a wumpus. Every tumpus is aggressive. Each brimpus is a jompus. Brimpuses are windy. Each numpus is not bitter. Impuses are gorpuses. Wumpuses are impuses. Wumpuses are bright. Lempuses are blue. Shumpuses are happy. Numpuses are tumpuses. Every impus is fruity. Numpuses are lempuses. Each sterpus is not liquid. Each tumpus is a dumpus. Dumpuses are not slow. Zumpuses are not cold. Each zumpus is a vumpus. Every vumpus is not small. Every tumpus is a zumpus. Wumpuses are shumpuses. Polly is a zumpus. Polly is a brimpus.
Question: Is Polly cold?
Think step-by-step.

",False,"Answer True or False to the following question. Answer as in the examples.

Shumpuses are gorpuses. Shumpuses are shy. Each grimpus is dull. Numpuses are slow. Each numpus is a lempus. Every yumpus is a jompus. Every rompus is not metallic. Each numpus is a grimpus. Each lorpus is amenable. Wumpuses are fruity. Each jompus is muffled. Every shumpus is a numpus. Dumpuses are vumpuses. Each dumpus is transparent. Each brimpus is orange. Jompuses are shumpuses. Lorpuses are yumpuses. Jompuses are rompuses. Gorpuses are snowy. Yumpuses are wumpuses. Yumpuses are temperate. Each lorpus is a brimpus. Fae is a dumpus. Fae is a jompus.
Question: Is Fae muffled?
Think step-by-step.

(1) Each jompus is muffled.
(2) Fae is a jompus.
(3) Fae is muffled.
Answer: True

Each impus is a sterpus. Each zumpus is a wumpus. Every tumpus is aggressive. Each brimpus is a jompus. Brimpuses are windy. Each numpus is not bitter. Impuses are gorpuses. Wumpuses are impuses. Wumpuses are bright. Lempuses are blue. Shumpuses are happy. Numpuses are tumpuses. Every impus is fruity. Numpuses are lempuses. Each sterpus is not liquid. Each tumpus is a dumpus. Dumpuses are not slow. Zumpuses are cold. Each zumpus is a vumpus. Every vumpus is not small. Every tumpus is a zumpus. Wumpuses are shumpuses. Polly is a zumpus. Polly is a brimpus.
Question: Is Polly cold?
Think step-by-step.

","['Zumpuses are not cold.', 'Polly is a zumpus.', 'Polly is not cold.']",,"['Each brimpus is a jompus.', 'Each sterpus is not liquid.', 'Each brimpus is a jompus.', 'Each brimpus is a zumpus.', 'Each brimpus is a sterpus.']",False,False
"Answer True or False to the following question. Answer as in the examples.

Every tumpus is a zumpus. Dumpuses are not brown. Dumpuses are vumpuses. Each tumpus is sour. Vumpuses are earthy. Dumpuses are shumpuses. Stella is a dumpus. Stella is a tumpus.
Question: Is Stella brown?
Think step-by-step.

(1) Dumpuses are not brown.
(2) Stella is a dumpus.
(3) Stella is not brown.
Answer: False

Sterpuses are cold. Yumpuses are grimpuses. Dumpuses are numpuses. Every zumpus is a wumpus. Every sterpus is a zumpus. Lempuses are lorpuses. Lorpuses are not discordant. Dumpuses are not small. Every zumpus is sunny. Each yumpus is not aggressive. Every lempus is a sterpus. Grimpuses are not feisty. Every zumpus is a rompus. Each brimpus is fast. Sterpuses are brimpuses. Wumpuses are floral. Yumpuses are lempuses. Lempuses are not bright. Sally is a dumpus. Sally is a zumpus.
Question: Is Sally sunny?
Think step-by-step.

",True,"Answer True or False to the following question. Answer as in the examples.

Every tumpus is a zumpus. Dumpuses are not brown. Dumpuses are vumpuses. Each tumpus is sour. Vumpuses are earthy. Dumpuses are shumpuses. Stella is a dumpus. Stella is a tumpus.
Question: Is Stella brown?
Think step-by-step.

(1) Dumpuses are not brown.
(2) Stella is a dumpus.
(3) Stella is not brown.
Answer: False

Sterpuses are cold. Yumpuses are grimpuses. Dumpuses are numpuses. Every zumpus is a wumpus. Every sterpus is a zumpus. Lempuses are lorpuses. Lorpuses are not discordant. Dumpuses are not small. Every zumpus is not sunny. Each yumpus is not aggressive. Every lempus is a sterpus. Grimpuses are not feisty. Every zumpus is a rompus. Each brimpus is fast. Sterpuses are brimpuses. Wumpuses are floral. Yumpuses are lempuses. Lempuses are not bright. Sally is a dumpus. Sally is a zumpus.
Question: Is Sally sunny?
Think step-by-step.

","['Every zumpus is sunny.', 'Sally is a zumpus.', 'Sally is sunny.']",True,"['Sally is a dumpus.', 'Sally is not sunny.', 'Sally is a zumpus.']",True,False
"Answer True or False to the following question. Answer as in the examples.

Every gorpus is not nervous. Gorpuses are shumpuses. Every shumpus is loud. Lempuses are not luminous. Jompuses are not bright. Each zumpus is aggressive. Jompuses are zumpuses. Tumpuses are sour. Every tumpus is a dumpus. Each gorpus is a numpus. Jompuses are gorpuses. Numpuses are lempuses. Each numpus is a yumpus. Numpuses are not floral. Polly is a tumpus. Polly is a numpus.
Question: Is Polly floral?
Think step-by-step.

(1) Numpuses are not floral.
(2) Polly is a numpus.
(3) Polly is not floral.
Answer: False

Every lorpus is earthy. Each lorpus is a jompus. Each tumpus is melodic. Each lorpus is a tumpus. Each wumpus is nervous. Every wumpus is a dumpus. Rex is a wumpus. Rex is a lorpus.
Question: Is Rex earthy?
Think step-by-step.

",True,"Answer True or False to the following question. Answer as in the examples.

Every gorpus is not nervous. Gorpuses are shumpuses. Every shumpus is loud. Lempuses are not luminous. Jompuses are not bright. Each zumpus is aggressive. Jompuses are zumpuses. Tumpuses are sour. Every tumpus is a dumpus. Each gorpus is a numpus. Jompuses are gorpuses. Numpuses are lempuses. Each numpus is a yumpus. Numpuses are not floral. Polly is a tumpus. Polly is a numpus.
Question: Is Polly floral?
Think step-by-step.

(1) Numpuses are not floral.
(2) Polly is a numpus.
(3) Polly is not floral.
Answer: False

Every lorpus is not earthy. Each lorpus is a jompus. Each tumpus is melodic. Each lorpus is a tumpus. Each wumpus is nervous. Every wumpus is a dumpus. Rex is a wumpus. Rex is a lorpus.
Question: Is Rex earthy?
Think step-by-step.

","['Every lorpus is earthy.', 'Rex is a lorpus.', 'Rex is earthy.']",True,"['Every lorpus is earthy.', 'Rex is a wumpus.', 'Rex is a lorpus.']",True,False
"Answer True or False to the following question. Answer as in the examples.

Every rompus is moderate. Jompuses are brimpuses. Every tumpus is a lempus. Every jompus is a rompus. Tumpuses are blue. Every jompus is loud. Fae is a tumpus. Fae is a jompus.
Question: Is Fae loud?
Think step-by-step.

(1) Every jompus is loud.
(2) Fae is a jompus.
(3) Fae is loud.
Answer: True

Each impus is a dumpus. Each impus is a lorpus. Every shumpus is a wumpus. Grimpuses are shy. Every sterpus is not large. Each vumpus is not brown. Each brimpus is overcast. Wumpuses are zumpuses. Sterpuses are impuses. Impuses are muffled. Shumpuses are vumpuses. Every shumpus is not dull. Sterpuses are brimpuses. Each grimpus is a yumpus. Each lorpus is opaque. Zumpuses are moderate. Wumpuses are sterpuses. Wumpuses are spicy. Sam is a wumpus. Sam is a grimpus.
Question: Is Sam spicy?
Think step-by-step.

",True,"Answer True or False to the following question. Answer as in the examples.

Every rompus is moderate. Jompuses are brimpuses. Every tumpus is a lempus. Every jompus is a rompus. Tumpuses are blue. Every jompus is loud. Fae is a tumpus. Fae is a jompus.
Question: Is Fae loud?
Think step-by-step.

(1) Every jompus is loud.
(2) Fae is a jompus.
(3) Fae is loud.
Answer: True

Each impus is a dumpus. Each impus is a lorpus. Every shumpus is a wumpus. Grimpuses are shy. Every sterpus is not large. Each vumpus is not brown. Each brimpus is overcast. Wumpuses are zumpuses. Sterpuses are impuses. Impuses are muffled. Shumpuses are vumpuses. Every shumpus is not dull. Sterpuses are brimpuses. Each grimpus is a yumpus. Each lorpus is opaque. Zumpuses are moderate. Wumpuses are sterpuses. Wumpuses are not spicy. Sam is a wumpus. Sam is a grimpus.
Question: Is Sam spicy?
Think step-by-step.

","['Wumpuses are spicy.', 'Sam is a wumpus.', 'Sam is spicy.']",True,"['Every brimpus is overcast.', 'Sam is a brimpus.', 'Sam is spicy.']",True,False
"Answer True or False to the following question. Answer as in the examples.

Brimpuses are sunny. Grimpuses are wumpuses. Shumpuses are vumpuses. Zumpuses are dumpuses. Shumpuses are brimpuses. Wumpuses are muffled. Every grimpus is a shumpus. Grimpuses are not transparent. Zumpuses are large. Each shumpus is not nervous. Sally is a zumpus. Sally is a grimpus.
Question: Is Sally transparent?
Think step-by-step.

(1) Grimpuses are not transparent.
(2) Sally is a grimpus.
(3) Sally is not transparent.
Answer: False

Sterpuses are brimpuses. Each sterpus is a numpus. Gorpuses are rompuses. Numpuses are brown. Gorpuses are not dull. Sterpuses are not floral. Wren is a sterpus. Wren is a gorpus.
Question: Is Wren floral?
Think step-by-step.

",False,"Answer True or False to the following question. Answer as in the examples.

Brimpuses are sunny. Grimpuses are wumpuses. Shumpuses are vumpuses. Zumpuses are dumpuses. Shumpuses are brimpuses. Wumpuses are muffled. Every grimpus is a shumpus. Grimpuses are not transparent. Zumpuses are large. Each shumpus is not nervous. Sally is a zumpus. Sally is a grimpus.
Question: Is Sally transparent?
Think step-by-step.

(1) Grimpuses are not transparent.
(2) Sally is a grimpus.
(3) Sally is not transparent.
Answer: False

Sterpuses are brimpuses. Each sterpus is a numpus. Gorpuses are rompuses. Numpuses are brown. Gorpuses are not dull. Sterpuses are floral. Wren is a sterpus. Wren is a gorpus.
Question: Is Wren floral?
Think step-by-step.

","['Sterpuses are not floral.', 'Wren is a sterpus.', 'Wren is not floral.']",True,"['Wren is a sterpus.', 'Wren is a gorpus.', 'Wren is not floral.']",False,False
"Answer True or False to the following question. Answer as in the examples.

Every numpus is an impus. Each impus is kind. Lempuses are shumpuses. Numpuses are lorpuses. Numpuses are brown. Every lempus is moderate. Fae is a lempus. Fae is a numpus.
Question: Is Fae brown?
Think step-by-step.

(1) Numpuses are brown.
(2) Fae is a numpus.
(3) Fae is brown.
Answer: True

Numpuses are not fruity. Tumpuses are not snowy. Zumpuses are opaque. Each grimpus is a rompus. Numpuses are tumpuses. Brimpuses are not shy. Grimpuses are sour. Zumpuses are wumpuses. Each numpus is a grimpus. Each grimpus is a brimpus. Stella is a zumpus. Stella is a numpus.
Question: Is Stella fruity?
Think step-by-step.

",False,"Answer True or False to the following question. Answer as in the examples.

Every numpus is an impus. Each impus is kind. Lempuses are shumpuses. Numpuses are lorpuses. Numpuses are brown. Every lempus is moderate. Fae is a lempus. Fae is a numpus.
Question: Is Fae brown?
Think step-by-step.

(1) Numpuses are brown.
(2) Fae is a numpus.
(3) Fae is brown.
Answer: True

Numpuses are fruity. Tumpuses are not snowy. Zumpuses are opaque. Each grimpus is a rompus. Numpuses are tumpuses. Brimpuses are not shy. Grimpuses are sour. Zumpuses are wumpuses. Each numpus is a grimpus. Each grimpus is a brimpus. Stella is a zumpus. Stella is a numpus.
Question: Is Stella fruity?
Think step-by-step.

","['Numpuses are not fruity.', 'Stella is a numpus.', 'Stella is not fruity.']",False,"['Numpuses are not fruity.', 'Stella is a numpus.', 'Stella is fruity.']",True,False
"Answer True or False to the following question. Answer as in the examples.

Yumpuses are nervous. Each zumpus is earthy. Each zumpus is a sterpus. Zumpuses are tumpuses. Each tumpus is angry. Wumpuses are lorpuses. Every wumpus is not opaque. Each tumpus is a shumpus. Every sterpus is not rainy. Tumpuses are yumpuses. Polly is a zumpus. Polly is a wumpus.
Question: Is Polly earthy?
Think step-by-step.

(1) Each zumpus is earthy.
(2) Polly is a zumpus.
(3) Polly is earthy.
Answer: True

Grimpuses are impuses. Each grimpus is a lempus. Each grimpus is not nervous. Every impus is liquid. Shumpuses are numpuses. Every shumpus is not angry. Sam is a shumpus. Sam is a grimpus.
Question: Is Sam nervous?
Think step-by-step.

",False,"Answer True or False to the following question. Answer as in the examples.

Yumpuses are nervous. Each zumpus is earthy. Each zumpus is a sterpus. Zumpuses are tumpuses. Each tumpus is angry. Wumpuses are lorpuses. Every wumpus is not opaque. Each tumpus is a shumpus. Every sterpus is not rainy. Tumpuses are yumpuses. Polly is a zumpus. Polly is a wumpus.
Question: Is Polly earthy?
Think step-by-step.

(1) Each zumpus is earthy.
(2) Polly is a zumpus.
(3) Polly is earthy.
Answer: True

Grimpuses are impuses. Each grimpus is a lempus. Each grimpus is nervous. Every impus is liquid. Shumpuses are numpuses. Every shumpus is not angry. Sam is a shumpus. Sam is a grimpus.
Question: Is Sam nervous?
Think step-by-step.

","['Each grimpus is not nervous.', 'Sam is a grimpus.', 'Sam is not nervous.']",False,"['Each grimpus is a lempus.', 'Sam is a grimpus.', 'Sam is not nervous.']",True,False
