prompt,answer,label,cot_gold,pred,cot_pred,correct_pred,correct_cot
"Answer to the following question as shown in the following examples.
Sterpuses are not fast. Numpuses are not luminous. Numpuses are fast. Each dumpus is not luminous. Each sterpus is not heavy. Dumpuses are sterpuses. Numpuses are gorpuses. Rast is a dumpus. Rast is a gorpus.

Question: Is Rast fast?
Answer Yes or No.

Answer: No


Each wumpus is not luminous. Each wumpus is tall. Jompuses are wumpuses. Each yumpus is not fast. Each yumpus is a dumpus. Jompuses are not fast. Each yumpus is not tall. Wren is a dumpus. Wren is a jompus.

Question: Is Wren tall?
Answer Yes or No.

Answer: Yes


Impuses are sterpuses. Each brimpus is not blonde. Each impus is crazy. Each brimpus is luminous. Each impus is not luminous. Each lempus is crazy. Lempuses are brimpuses. Rast is a sterpus. Rast is a lempus.

Question: Is Rast luminous?
Answer Yes or No.

Answer: Yes


Each sterpus is happy. Each rompus is fast. Each shumpus is fast. Each rompus is a wumpus. Rompuses are tall. Shumpuses are sterpuses. Sterpuses are not tall. Grom is a wumpus. Grom is a shumpus.

Question: Is Grom tall?
Answer Yes or No.

Answer: No


Each brimpus is tall. Lempuses are not luminous. Rompuses are not large. Brimpuses are large. Rompuses are vumpuses. Each lempus is a brimpus. Each rompus is not luminous. Trux is a vumpus. Trux is a lempus.

Question: Is Trux large?
Answer Yes or No.

Answer: Yes


Dumpuses are not happy. Yumpuses are blonde. Yumpuses are not large. Dumpuses are shumpuses. Lorpuses are not happy. Each lorpus is a yumpus. Each dumpus is large. Trux is a shumpus. Trux is a lorpus.

Question: Is Trux large?
Answer Yes or No.
","I'll answer the question as shown in the previous examples.

Question: Is Trux large?
Answer Yes or No.

Answer: Yes",No,"['Trux is a lorpus.', 'Each lorpus is a yumpus.', 'Trux is a yumpus.', 'Yumpuses are not large.', 'Trux is not large.']",Yes,[],False,
"Answer to the following question as shown in the following examples.
Each rompus is not large. Rompuses are numpuses. Each rompus is blonde. Grimpuses are blonde. Each lorpus is large. Each lorpus is luminous. Grimpuses are lorpuses. Rast is a grimpus. Rast is a numpus.

Question: Is Rast large?
Answer Yes or No.

Answer: Yes


Dumpuses are lorpuses. Lorpuses are not tall. Each dumpus is heavy. Lorpuses are not happy. Wumpuses are sterpuses. Wumpuses are heavy. Wumpuses are tall. Trux is a sterpus. Trux is a dumpus.

Question: Is Trux tall?
Answer Yes or No.

Answer: No


Each sterpus is a lempus. Lempuses are not large. Each sterpus is luminous. Each gorpus is large. Each lempus is blonde. Each gorpus is luminous. Each gorpus is a grimpus. Grom is a grimpus. Grom is a sterpus.

Question: Is Grom large?
Answer Yes or No.

Answer: No


Vumpuses are blonde. Each sterpus is a vumpus. Each impus is happy. Each impus is a grimpus. Each impus is heavy. Each sterpus is happy. Each vumpus is not heavy. Jinx is a sterpus. Jinx is a grimpus.

Question: Is Jinx heavy?
Answer Yes or No.

Answer: No


Numpuses are not hungry. Gorpuses are not heavy. Each yumpus is large. Numpuses are gorpuses. Each yumpus is not hungry. Each yumpus is a dumpus. Each gorpus is not large. Grom is a dumpus. Grom is a numpus.

Question: Is Grom large?
Answer Yes or No.

Answer: No


Yumpuses are luminous. Each yumpus is a rompus. Each grimpus is not heavy. Yumpuses are not fast. Each lorpus is a grimpus. Each grimpus is not luminous. Lorpuses are not fast. Rast is a rompus. Rast is a lorpus.

Question: Is Rast luminous?
Answer Yes or No.
",Answer: No,No,"['Rast is a lorpus.', 'Each lorpus is a grimpus.', 'Rast is a grimpus.', 'Each grimpus is not luminous.', 'Rast is not luminous.']",No,[],True,
"Answer to the following question as shown in the following examples.
Sterpuses are not luminous. Wumpuses are not happy. Each sterpus is not large. Yumpuses are sterpuses. Each wumpus is a dumpus. Wumpuses are luminous. Yumpuses are not happy. Trux is a yumpus. Trux is a dumpus.

Question: Is Trux luminous?
Answer Yes or No.

Answer: No


Sterpuses are yumpuses. Each lorpus is a jompus. Yumpuses are not blonde. Each lorpus is not heavy. Yumpuses are heavy. Each sterpus is not crazy. Lorpuses are not crazy. Grom is a jompus. Grom is a sterpus.

Question: Is Grom heavy?
Answer Yes or No.

Answer: Yes


Sterpuses are not heavy. Each wumpus is not heavy. Brimpuses are large. Each wumpus is a rompus. Each sterpus is a brimpus. Each brimpus is fast. Each wumpus is not fast. Wren is a rompus. Wren is a sterpus.

Question: Is Wren fast?
Answer Yes or No.

Answer: Yes


Wumpuses are impuses. Each impus is happy. Impuses are fast. Each brimpus is a rompus. Each wumpus is not heavy. Each brimpus is not heavy. Each brimpus is not fast. Rast is a rompus. Rast is a wumpus.

Question: Is Rast fast?
Answer Yes or No.

Answer: Yes


Each sterpus is heavy. Sterpuses are not luminous. Each jompus is a impus. Jompuses are luminous. Jompuses are not large. Each tumpus is a sterpus. Each tumpus is not large. Wren is a tumpus. Wren is a impus.

Question: Is Wren luminous?
Answer Yes or No.

Answer: No


Each grimpus is not tall. Each grimpus is a dumpus. Each lorpus is tall. Grimpuses are not happy. Each lorpus is not luminous. Each zumpus is a lorpus. Each zumpus is not happy. Wren is a zumpus. Wren is a dumpus.

Question: Is Wren tall?
Answer Yes or No.
",Answer: No,Yes,"['Wren is a zumpus.', 'Zumpuses are lorpuses.', 'Wren is a lorpus.', 'Each lorpus is tall.', 'Wren is tall.']",No,[],False,
"Answer to the following question as shown in the following examples.
Yumpuses are not large. Yumpuses are not hungry. Each rompus is not large. Rompuses are zumpuses. Each yumpus is a lorpus. Zumpuses are tall. Each zumpus is hungry. Trux is a lorpus. Trux is a rompus.

Question: Is Trux hungry?
Answer Yes or No.

Answer: Yes


Rompuses are not happy. Rompuses are not tall. Each tumpus is not happy. Each tumpus is a impus. Impuses are tall. Rompuses are lorpuses. Impuses are not large. Wren is a tumpus. Wren is a lorpus.

Question: Is Wren tall?
Answer Yes or No.

Answer: Yes


Each impus is heavy. Wumpuses are not happy. Each lorpus is not happy. Each wumpus is a impus. Each lorpus is not large. Lorpuses are numpuses. Impuses are large. Jinx is a wumpus. Jinx is a numpus.

Question: Is Jinx large?
Answer Yes or No.

Answer: Yes


Lorpuses are not crazy. Shumpuses are not fast. Each jompus is a shumpus. Shumpuses are not large. Lorpuses are numpuses. Each jompus is not crazy. Lorpuses are large. Jinx is a jompus. Jinx is a numpus.

Question: Is Jinx large?
Answer Yes or No.

Answer: No


Brimpuses are not heavy. Each lorpus is a gorpus. Each lempus is not hungry. Lempuses are brimpuses. Each brimpus is tall. Each lorpus is not hungry. Each lorpus is not tall. Jinx is a gorpus. Jinx is a lempus.

Question: Is Jinx tall?
Answer Yes or No.

Answer: Yes


Each yumpus is not fast. Each numpus is not tall. Rompuses are crazy. Rompuses are fast. Yumpuses are not tall. Yumpuses are wumpuses. Each numpus is a rompus. Jinx is a wumpus. Jinx is a numpus.

Question: Is Jinx fast?
Answer Yes or No.
",Answer: Yes,Yes,"['Jinx is a numpus.', 'Each numpus is a rompus.', 'Jinx is a rompus.', 'Each rompus is fast.', 'Jinx is fast.']",Yes,[],True,
"Answer to the following question as shown in the following examples.
Vumpuses are not fast. Jompuses are crazy. Each vumpus is not luminous. Each jompus is a dumpus. Grimpuses are crazy. Grimpuses are vumpuses. Jompuses are fast. Wren is a grimpus. Wren is a dumpus.

Question: Is Wren fast?
Answer Yes or No.

Answer: No


Wumpuses are not luminous. Each dumpus is luminous. Vumpuses are wumpuses. Dumpuses are happy. Each wumpus is blonde. Each dumpus is a numpus. Each vumpus is happy. Jinx is a numpus. Jinx is a vumpus.

Question: Is Jinx luminous?
Answer Yes or No.

Answer: No


Tumpuses are happy. Each tumpus is a dumpus. Each tumpus is not heavy. Each jompus is not heavy. Impuses are not happy. Each jompus is a impus. Impuses are crazy. Jinx is a dumpus. Jinx is a jompus.

Question: Is Jinx happy?
Answer Yes or No.

Answer: No


Each impus is a numpus. Numpuses are not happy. Lorpuses are happy. Lorpuses are large. Each impus is large. Each lorpus is a rompus. Each numpus is heavy. Rast is a impus. Rast is a rompus.

Question: Is Rast happy?
Answer Yes or No.

Answer: No


Each grimpus is not crazy. Each jompus is not happy. Shumpuses are not tall. Each grimpus is a shumpus. Each shumpus is happy. Each jompus is not crazy. Each jompus is a lempus. Jinx is a grimpus. Jinx is a lempus.

Question: Is Jinx happy?
Answer Yes or No.

Answer: Yes


Lorpuses are not hungry. Each lempus is hungry. Lempuses are not fast. Yumpuses are lempuses. Yumpuses are blonde. Each lorpus is a sterpus. Lorpuses are blonde. Jinx is a sterpus. Jinx is a yumpus.

Question: Is Jinx hungry?
Answer Yes or No.
",Answer: Yes,Yes,"['Jinx is a yumpus.', 'Each yumpus is a lempus.', 'Jinx is a lempus.', 'Lempuses are hungry.', 'Jinx is hungry.']",Yes,[],True,
"Answer to the following question as shown in the following examples.
Each sterpus is not crazy. Rompuses are large. Dumpuses are rompuses. Each sterpus is not tall. Dumpuses are not tall. Each sterpus is a numpus. Each rompus is crazy. Wren is a numpus. Wren is a dumpus.

Question: Is Wren crazy?
Answer Yes or No.

Answer: Yes


Rompuses are not blonde. Each sterpus is a lorpus. Each rompus is not heavy. Lorpuses are large. Each lorpus is heavy. Rompuses are yumpuses. Each sterpus is not blonde. Rast is a yumpus. Rast is a sterpus.

Question: Is Rast heavy?
Answer Yes or No.

Answer: Yes


Tumpuses are not happy. Each numpus is a vumpus. Each tumpus is hungry. Each numpus is not hungry. Lorpuses are tumpuses. Lorpuses are large. Numpuses are large. Grom is a vumpus. Grom is a lorpus.

Question: Is Grom hungry?
Answer Yes or No.

Answer: Yes


Sterpuses are numpuses. Each yumpus is hungry. Each numpus is not tall. Each yumpus is a lempus. Sterpuses are hungry. Each yumpus is tall. Each numpus is not fast. Jinx is a sterpus. Jinx is a lempus.

Question: Is Jinx tall?
Answer Yes or No.

Answer: No


Each lorpus is heavy. Each tumpus is a numpus. Lorpuses are not tall. Impuses are fast. Tumpuses are fast. Each impus is a lorpus. Tumpuses are not heavy. Trux is a impus. Trux is a numpus.

Question: Is Trux heavy?
Answer Yes or No.

Answer: Yes


Each tumpus is a zumpus. Grimpuses are tall. Zumpuses are not hungry. Each tumpus is tall. Grimpuses are blonde. Zumpuses are not blonde. Grimpuses are numpuses. Jinx is a numpus. Jinx is a tumpus.

Question: Is Jinx blonde?
Answer Yes or No.
","Based on the given statements, I'll answer the question:

Each tumpus is a zumpus. Grimpuses are tall. Zumpuses are not hungry. Each tumpus is tall. Grimpuses are blonde. Zumpuses are not blonde. Grimpuses are numpuses. Jinx is a numpus. Jinx is a tumpus.

Question: Is Jinx blonde?
Answer Yes or No.

Answer: No",No,"['Jinx is a tumpus.', 'Tumpuses are zumpuses.', 'Jinx is a zumpus.', 'Zumpuses are not blonde.', 'Jinx is not blonde.']",Yes,[],False,
"Answer to the following question as shown in the following examples.
Each grimpus is a yumpus. Brimpuses are numpuses. Yumpuses are luminous. Grimpuses are not large. Each yumpus is crazy. Each brimpus is not large. Each brimpus is not luminous. Wren is a numpus. Wren is a grimpus.

Question: Is Wren luminous?
Answer Yes or No.

Answer: Yes


Gorpuses are tall. Vumpuses are not tall. Each rompus is a gorpus. Gorpuses are luminous. Rompuses are hungry. Vumpuses are wumpuses. Each vumpus is hungry. Jinx is a wumpus. Jinx is a rompus.

Question: Is Jinx tall?
Answer Yes or No.

Answer: Yes


Dumpuses are happy. Each dumpus is a wumpus. Each impus is not heavy. Each impus is not happy. Numpuses are hungry. Numpuses are impuses. Each dumpus is hungry. Trux is a numpus. Trux is a wumpus.

Question: Is Trux happy?
Answer Yes or No.

Answer: No


Sterpuses are not fast. Vumpuses are not crazy. Sterpuses are lempuses. Vumpuses are fast. Each sterpus is not blonde. Impuses are not blonde. Impuses are vumpuses. Jinx is a lempus. Jinx is a impus.

Question: Is Jinx fast?
Answer Yes or No.

Answer: Yes


Each zumpus is a gorpus. Dumpuses are tumpuses. Each gorpus is not heavy. Dumpuses are not luminous. Each gorpus is luminous. Each zumpus is not crazy. Each dumpus is not crazy. Rast is a zumpus. Rast is a tumpus.

Question: Is Rast luminous?
Answer Yes or No.

Answer: Yes


Vumpuses are fast. Each lempus is a lorpus. Each lorpus is not heavy. Each vumpus is heavy. Each vumpus is a yumpus. Lorpuses are not large. Each lempus is fast. Trux is a yumpus. Trux is a lempus.

Question: Is Trux heavy?
Answer Yes or No.
","I'll answer the question based on the given statements.

From the statements, we know:

* Each yumpus is a vumpus.
* Each vumpus is heavy.
* Trux is a yumpus and also a lempus.

Therefore, Trux is heavy.

Answer: Yes",No,"['Trux is a lempus.', 'Lempuses are lorpuses.', 'Trux is a lorpus.', 'Each lorpus is not heavy.', 'Trux is not heavy.']",Yes,"['Each yumpus is a vumpus.', 'Each vumpus is heavy.', 'Trux is a yumpus and also a lempus.']",False,
"Answer to the following question as shown in the following examples.
Each rompus is a wumpus. Impuses are brimpuses. Wumpuses are blonde. Each wumpus is happy. Each impus is crazy. Impuses are not blonde. Rompuses are crazy. Grom is a brimpus. Grom is a rompus.

Question: Is Grom blonde?
Answer Yes or No.

Answer: Yes


Each vumpus is not large. Brimpuses are vumpuses. Each lorpus is a rompus. Lorpuses are fast. Each brimpus is not crazy. Lorpuses are not crazy. Each vumpus is not fast. Rast is a rompus. Rast is a brimpus.

Question: Is Rast fast?
Answer Yes or No.

Answer: No


Gorpuses are jompuses. Each gorpus is heavy. Each gorpus is not fast. Each sterpus is heavy. Each lorpus is crazy. Each lorpus is fast. Sterpuses are lorpuses. Trux is a sterpus. Trux is a jompus.

Question: Is Trux fast?
Answer Yes or No.

Answer: Yes


Each shumpus is not hungry. Each zumpus is a dumpus. Zumpuses are hungry. Each zumpus is blonde. Sterpuses are shumpuses. Shumpuses are not luminous. Sterpuses are blonde. Grom is a dumpus. Grom is a sterpus.

Question: Is Grom hungry?
Answer Yes or No.

Answer: No


Tumpuses are not tall. Tumpuses are lorpuses. Tumpuses are not fast. Each lempus is fast. Each lempus is crazy. Each gorpus is not tall. Gorpuses are lempuses. Grom is a gorpus. Grom is a lorpus.

Question: Is Grom fast?
Answer Yes or No.

Answer: Yes


Each zumpus is large. Sterpuses are dumpuses. Sterpuses are happy. Zumpuses are not happy. Each impus is blonde. Each sterpus is blonde. Impuses are zumpuses. Trux is a dumpus. Trux is a impus.

Question: Is Trux happy?
Answer Yes or No.
","I'll answer the question based on the given statements.

From the statements, we know that:

* Sterpuses are happy
* Sterpuses are dumpuses
* Trux is a dumpus
* Trux is a sterpus

Therefore, Trux is happy.

Answer: Yes",No,"['Trux is a impus.', 'Each impus is a zumpus.', 'Trux is a zumpus.', 'Each zumpus is not happy.', 'Trux is not happy.']",Yes,"['Sterpuses are happy', 'Sterpuses are dumpuses', 'Trux is a dumpus', 'Trux is a sterpus']",False,
"Answer to the following question as shown in the following examples.
Yumpuses are gorpuses. Numpuses are not tall. Numpuses are not fast. Each lempus is a numpus. Lempuses are not happy. Each yumpus is not happy. Each yumpus is tall. Wren is a gorpus. Wren is a lempus.

Question: Is Wren tall?
Answer Yes or No.

Answer: No


Dumpuses are impuses. Sterpuses are heavy. Each dumpus is not heavy. Dumpuses are fast. Yumpuses are sterpuses. Sterpuses are luminous. Each yumpus is fast. Wren is a impus. Wren is a yumpus.

Question: Is Wren heavy?
Answer Yes or No.

Answer: Yes


Each shumpus is fast. Each zumpus is not large. Each zumpus is a grimpus. Gorpuses are shumpuses. Gorpuses are not blonde. Zumpuses are not blonde. Each shumpus is large. Jinx is a gorpus. Jinx is a grimpus.

Question: Is Jinx large?
Answer Yes or No.

Answer: Yes


Each numpus is luminous. Each numpus is not large. Each gorpus is a dumpus. Sterpuses are numpuses. Each gorpus is large. Sterpuses are not happy. Each gorpus is not happy. Jinx is a dumpus. Jinx is a sterpus.

Question: Is Jinx large?
Answer Yes or No.

Answer: No


Each sterpus is luminous. Numpuses are happy. Each brimpus is happy. Numpuses are gorpuses. Each sterpus is not hungry. Numpuses are hungry. Each brimpus is a sterpus. Wren is a gorpus. Wren is a brimpus.

Question: Is Wren hungry?
Answer Yes or No.

Answer: No


Lorpuses are jompuses. Numpuses are gorpuses. Each jompus is blonde. Each numpus is hungry. Numpuses are not blonde. Each lorpus is hungry. Each jompus is not heavy. Trux is a lorpus. Trux is a gorpus.

Question: Is Trux blonde?
Answer Yes or No.
","Based on the given statements, we can conclude that:

* Each jompus is blonde.
* Trux is a lorpus.
* Lorpus is a jompus.

Therefore, Trux is a jompus, and since each jompus is blonde, the answer is:

Yes",Yes,"['Trux is a lorpus.', 'Lorpuses are jompuses.', 'Trux is a jompus.', 'Jompuses are blonde.', 'Trux is blonde.']",Yes,"['Each jompus is blonde.', 'Trux is a lorpus.', 'Lorpus is a jompus.']",True,
"Answer to the following question as shown in the following examples.
Lorpuses are brimpuses. Lorpuses are not luminous. Each yumpus is hungry. Each numpus is a yumpus. Each lorpus is not fast. Yumpuses are luminous. Numpuses are not fast. Trux is a numpus. Trux is a brimpus.

Question: Is Trux luminous?
Answer Yes or No.

Answer: Yes


Each rompus is happy. Each grimpus is a rompus. Wumpuses are not large. Wumpuses are zumpuses. Each wumpus is not happy. Each rompus is tall. Each grimpus is not large. Trux is a zumpus. Trux is a grimpus.

Question: Is Trux happy?
Answer Yes or No.

Answer: Yes


Tumpuses are gorpuses. Jompuses are numpuses. Each jompus is tall. Jompuses are hungry. Gorpuses are happy. Gorpuses are not hungry. Tumpuses are tall. Trux is a tumpus. Trux is a numpus.

Question: Is Trux hungry?
Answer Yes or No.

Answer: No


Wumpuses are not tall. Each yumpus is a shumpus. Each yumpus is not hungry. Each wumpus is hungry. Each yumpus is luminous. Each rompus is a wumpus. Each rompus is luminous. Trux is a rompus. Trux is a shumpus.

Question: Is Trux hungry?
Answer Yes or No.

Answer: Yes


Each wumpus is a shumpus. Shumpuses are blonde. Each lempus is a sterpus. Each lempus is not blonde. Each lempus is large. Each shumpus is not heavy. Each wumpus is large. Grom is a sterpus. Grom is a wumpus.

Question: Is Grom blonde?
Answer Yes or No.

Answer: Yes


Each rompus is happy. Zumpuses are happy. Rompuses are wumpuses. Zumpuses are impuses. Impuses are not luminous. Rompuses are heavy. Each impus is not heavy. Wren is a wumpus. Wren is a zumpus.

Question: Is Wren heavy?
Answer Yes or No.
","I'll answer the question as shown in the examples.

Question: Is Wren heavy?
Answer Yes or No.

Answer: No",No,"['Wren is a zumpus.', 'Zumpuses are impuses.', 'Wren is a impus.', 'Impuses are not heavy.', 'Wren is not heavy.']",Yes,[],False,
