,prompt,label,cot_gold,pred,cot_pred,correct_pred,correct_cot
0,"Answer Yes or No to the following question. Answer as in the examples.
Grimpuses are blonde. Each wumpus is a grimpus. Shumpuses are not fast. Shumpuses are luminous. Each wumpus is not luminous. Jinx is a grimpus. Jinx is a shumpus.

Question: Is Jinx luminous?

Answer: Yes


Each brimpus is a impus. Each lorpus is fast. Each lorpus is not happy. Each brimpus is not fast. Each impus is not large. Wren is a lorpus. Wren is a impus.

Question: Is Wren fast?
",Yes,"['Wren is a lorpus.', 'Each lorpus is fast.', 'Wren is fast.']",Yes,[],True,True
1,"Answer Yes or No to the following question. Answer as in the examples.
Sterpuses are fast. Sterpuses are dumpus. Each tumpus is hungry. Dumpuses are not tall. Tumpuses are not fast. Rast is a dumpus. Rast is a tumpus.

Question: Is Rast fast?

Answer: No


Each rompus is blonde. Tumpuses are luminous. Rompuses are not heavy. Vumpuses are tumpus. Each vumpus is heavy. Jinx is a rompus. Jinx is a tumpus.

Question: Is Jinx heavy?
",No,"['Jinx is a rompus.', 'Each rompus is not heavy.', 'Jinx is not heavy.']",NaN,[],False,True
2,"Answer Yes or No to the following question. Answer as in the examples.
Each yumpus is luminous. Gorpuses are not hungry. Sterpuses are not large. Yumpuses are sterpus. Each gorpus is not luminous. Grom is a sterpus. Grom is a gorpus.

Question: Is Grom luminous?

Answer: No


Lempuses are sterpus. Each dumpus is fast. Each lempus is not fast. Each dumpus is not luminous. Sterpuses are not hungry. Trux is a dumpus. Trux is a sterpus.

Question: Is Trux fast?
",Yes,"['Trux is a dumpus.', 'Dumpuses are fast.', 'Trux is fast.']",No,[],False,True
3,"Answer Yes or No to the following question. Answer as in the examples.
Each vumpus is a numpus. Brimpuses are happy. Vumpuses are not happy. Brimpuses are not luminous. Each numpus is not hungry. Jinx is a brimpus. Jinx is a numpus.

Question: Is Jinx happy?

Answer: Yes


Sterpuses are tall. Vumpuses are hungry. Each vumpus is not tall. Impuses are crazy. Each sterpus is a impus. Grom is a vumpus. Grom is a impus.

Question: Is Grom tall?
",No,"['Grom is a vumpus.', 'Vumpuses are not tall.', 'Grom is not tall.']",No,[],True,True
4,"Answer Yes or No to the following question. Answer as in the examples.
Each lempus is tall. Wumpuses are fast. Each wumpus is not blonde. Tumpuses are lempus. Each tumpus is blonde. Jinx is a lempus. Jinx is a wumpus.

Question: Is Jinx blonde?

Answer: No


Each gorpus is not fast. Gorpuses are not blonde. Sterpuses are blonde. Each lempus is not crazy. Sterpuses are lempus. Grom is a lempus. Grom is a gorpus.

Question: Is Grom blonde?
",No,"['Grom is a gorpus.', 'Each gorpus is not blonde.', 'Grom is not blonde.']",NaN,[],False,True
5,"Answer Yes or No to the following question. Answer as in the examples.
Each dumpus is a shumpus. Yumpuses are tall. Each yumpus is hungry. Each shumpus is crazy. Each dumpus is not hungry. Jinx is a yumpus. Jinx is a shumpus.

Question: Is Jinx hungry?

Answer: Yes


Each numpus is heavy. Zumpuses are numpus. Each zumpus is hungry. Each wumpus is not happy. Wumpuses are not hungry. Wren is a numpus. Wren is a wumpus.

Question: Is Wren hungry?
",No,"['Wren is a wumpus.', 'Each wumpus is not hungry.', 'Wren is not hungry.']",NaN,[],False,True
6,"Answer Yes or No to the following question. Answer as in the examples.
Each yumpus is hungry. Each wumpus is not blonde. Impuses are yumpus. Each impus is blonde. Each wumpus is not luminous. Grom is a wumpus. Grom is a yumpus.

Question: Is Grom blonde?

Answer: No


Sterpuses are luminous. Each sterpus is not blonde. Gorpuses are hungry. Grimpuses are not luminous. Each grimpus is a gorpus. Rast is a sterpus. Rast is a gorpus.

Question: Is Rast luminous?
",Yes,"['Rast is a sterpus.', 'Sterpuses are luminous.', 'Rast is luminous.']",Yes,[],True,True
7,"Answer Yes or No to the following question. Answer as in the examples.
Gorpuses are blonde. Zumpuses are shumpus. Shumpuses are hungry. Each gorpus is luminous. Zumpuses are not blonde. Trux is a shumpus. Trux is a gorpus.

Question: Is Trux blonde?

Answer: Yes


Each rompus is not large. Rompuses are zumpus. Each zumpus is blonde. Each yumpus is happy. Each yumpus is large. Wren is a yumpus. Wren is a zumpus.

Question: Is Wren large?
",Yes,"['Wren is a yumpus.', 'Each yumpus is large.', 'Wren is large.']",NaN,[],False,True
8,"Answer Yes or No to the following question. Answer as in the examples.
Lempuses are not tall. Each vumpus is tall. Gorpuses are blonde. Each vumpus is not happy. Lempuses are gorpus. Wren is a gorpus. Wren is a vumpus.

Question: Is Wren tall?

Answer: Yes


Each gorpus is a sterpus. Each yumpus is not luminous. Yumpuses are fast. Each sterpus is happy. Gorpuses are luminous. Jinx is a yumpus. Jinx is a sterpus.

Question: Is Jinx luminous?
",No,"['Jinx is a yumpus.', 'Yumpuses are not luminous.', 'Jinx is not luminous.']",NaN,[],False,True
9,"Answer Yes or No to the following question. Answer as in the examples.
Each shumpus is not crazy. Each shumpus is not heavy. Each sterpus is a impus. Each impus is not happy. Sterpuses are crazy. Grom is a impus. Grom is a shumpus.

Question: Is Grom crazy?

Answer: No


Vumpuses are not hungry. Each vumpus is blonde. Each gorpus is not crazy. Each dumpus is hungry. Each dumpus is a gorpus. Grom is a gorpus. Grom is a vumpus.

Question: Is Grom hungry?
",No,"['Grom is a vumpus.', 'Vumpuses are not hungry.', 'Grom is not hungry.']",Yes,[],False,True
