prompt,answer,solution,solving,n_shots,cot,correct
"Solve the following expression as shown in the examples.

Expression: x= [ (55+31) -69] + (7*34)
Answer: x=[86-69] +238 = 17+238 = 255

Expression: x= [ (91+26) -75] - (56-21)
Answer:",7.0,7,Answer: x=[117-75] -35 = 42-35 = 7,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (25+77) +29] + (23+92)
Answer: x=[102+29] +115 = 131+115 = 246

Expression: x= [ (71-44) +31] + (95-62)
Answer:",91.0,91,Answer: x=[27+31] +33 = 58+33 = 91,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (73+94) -48] - (54+22)
Answer: x=[167-48] -76 = 119-76 = 43

Expression: x= [ (13+74) +90] + (54-9)
Answer:",222.0,222,Answer: x=[87+90] +45 = 177+45 = 222,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (5+57) +41] - (60-45)
Answer: x=[62+41] -15 = 103-15 = 88

Expression: x= [ (76+88) -8] - (45+70)
Answer:",41.0,41,Answer: x=[164-8] -115 = 156-115 = 41,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (78+30) +1] + (32+37)
Answer: x=[108+1] +69 = 109+69 = 178

Expression: x= [ (34-22) +34] + (65*2)
Answer:",176.0,176,Answer: x=[12+34] +130 = 46+130 = 176,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (10+4) +40] + (39+16)
Answer: x=[14+40] +55 = 54+55 = 109

Expression: x= [ (51+44) +61] * (51-45)
Answer:",936.0,936,Answer: x=[95+61] *6 = 156*6 = 936,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (50+96) -72] + (98-92)
Answer: x=[146-72] +6 = 74+6 = 80

Expression: x= [ (15*5) +37] + (42+32)
Answer:",186.0,186,Answer: x=[75+37] +74 = 112+74 = 186,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (18+75) +66] + (90+62)
Answer: x=[93+66] +152 = 159+152 = 311

Expression: x= [ (87+53) +43] + (12-5)
Answer:",190.0,190,Answer: x=[140+43] +7 = 183+7 = 190,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (26*16) +37] - (4*57)
Answer: x=[416+37] -228 = 453-228 = 225

Expression: x= [ (80-56) +53] - (81-54)
Answer:",50.0,50,Answer: x=[24+53] -27 = 77-27 = 50,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (75+45) +69] - (60-56)
Answer: x=[120+69] -4 = 189-4 = 185

Expression: x= [ (24+53) -31] - (27+5)
Answer:",14.0,14,Answer: x=[77-31] -32 = 46-32 = 14,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (77-33) +78] - (21-7)
Answer: x=[44+78] -14 = 122-14 = 108

Expression: x= [ (81+9) -64] * (4+25)
Answer:",754.0,754,Answer: x=[90-64] *29 = 26*29 = 754,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (82+56) +56] + (92-82)
Answer: x=[138+56] +10 = 194+10 = 204

Expression: x= [ (74-47) *5] + (8*43)
Answer:",479.0,479,Answer: x=[27*5] +344 = 135+344 = 479,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (52+5) -49] + (88+6)
Answer: x=[57-49] +94 = 8+94 = 102

Expression: x= [ (56+63) +74] + (87+33)
Answer:",313.0,313,Answer: x=[119+74] +120 = 193+120 = 313,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (81-33) +69] - (27+83)
Answer: x=[48+69] -110 = 117-110 = 7

Expression: x= [ (65-35) +76] - (80-39)
Answer:",65.0,65,Answer: x=[30+76] -41 = 106-41 = 65,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (81+22) +85] + (58+41)
Answer: x=[103+85] +99 = 188+99 = 287

Expression: x= [ (64-59) +26] + (53-17)
Answer:",67.0,67,Answer: x=[5+26] +36 = 31+36 = 67,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (51+29) +37] - (93+15)
Answer: x=[80+37] -108 = 117-108 = 9

Expression: x= [ (65*2) -80] + (9*7)
Answer:",113.0,113,Answer: x=[130-80] +63 = 50+63 = 113,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (49+36) -29] + (13+34)
Answer: x=[85-29] +47 = 56+47 = 103

Expression: x= [ (29+71) -19] * (84-75)
Answer:",729.0,729,Answer: x=[100-19] *9 = 81*9 = 729,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (72-12) -38] + (4+24)
Answer: x=[60-38] +28 = 22+28 = 50

Expression: x= [ (16+52) -7] + (61+21)
Answer:",143.0,143,Answer: x=[68-7] +82 = 61+82 = 143,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (95-67) *26] - (71-16)
Answer: x=[28*26] -55 = 728-55 = 673

Expression: x= [ (74*10) +55] - (80-68)
Answer:",783.0,783,Answer: x=[740+55] -12 = 795-12 = 783,1,True,True
