,prompt,label,cot_gold,pred,cot_pred,correct_pred,correct_cot
0,"Answer Yes or No to the following question. Answer as in the examples.
Each vumpus is a shumpus. Each vumpus is not fast. Wumpuses are luminous. Shumpuses are not blonde. Wumpuses are fast. Trux is a shumpus. Trux is a wumpus.

Question: Is Trux fast?
Think step by step.

(1) Trux is a wumpus.
(2) Wumpuses are fast.
(3) Trux is fast.
Answer: Yes


Jompuses are blonde. Zumpuses are shumpus. Jompuses are tall. Each shumpus is not heavy. Zumpuses are not tall. Rast is a shumpus. Rast is a jompus.

Question: Is Rast tall?
Think step by step.

(1) Rast is a jompus.
(2) Each jompus is tall.
(3) Rast is tall.
Answer: Yes


Zumpuses are luminous. Each dumpus is a sterpus. Each dumpus is not luminous. Each sterpus is crazy. Each zumpus is tall. Trux is a zumpus. Trux is a sterpus.

Question: Is Trux luminous?
Think step by step.

(1) Trux is a zumpus.
(2) Each zumpus is luminous.
(3) Trux is luminous.
Answer: Yes


Each zumpus is a impus. Zumpuses are not tall. Jompuses are tall. Each impus is large. Jompuses are not luminous. Rast is a impus. Rast is a jompus.

Question: Is Rast tall?
Think step by step.
",Yes,"['Rast is a jompus.', 'Each jompus is tall.', 'Rast is tall.']",Yes,"['Rast is a jompus.', 'Each jompus is tall.', 'Rast is tall.']",True,True
1,"Answer Yes or No to the following question. Answer as in the examples.
Wumpuses are not hungry. Lempuses are wumpus. Tumpuses are not blonde. Each tumpus is happy. Each lempus is blonde. Rast is a tumpus. Rast is a wumpus.

Question: Is Rast blonde?
Think step by step.

(1) Rast is a tumpus.
(2) Tumpuses are not blonde.
(3) Rast is not blonde.
Answer: No


Lempuses are dumpus. Sterpuses are not tall. Dumpuses are blonde. Sterpuses are not luminous. Each lempus is luminous. Wren is a sterpus. Wren is a dumpus.

Question: Is Wren luminous?
Think step by step.

(1) Wren is a sterpus.
(2) Sterpuses are not luminous.
(3) Wren is not luminous.
Answer: No


Brimpuses are crazy. Tumpuses are not heavy. Sterpuses are brimpus. Tumpuses are not tall. Sterpuses are heavy. Trux is a tumpus. Trux is a brimpus.

Question: Is Trux heavy?
Think step by step.

(1) Trux is a tumpus.
(2) Tumpuses are not heavy.
(3) Trux is not heavy.
Answer: No


Wumpuses are not tall. Each jompus is not blonde. Each jompus is not hungry. Each impus is hungry. Each impus is a wumpus. Trux is a jompus. Trux is a wumpus.

Question: Is Trux hungry?
Think step by step.
",No,"['Trux is a jompus.', 'Jompuses are not hungry.', 'Trux is not hungry.']",No,"['Trux is a jompus.', 'Each jompus is not hungry.', 'Trux is not hungry.']",True,False
2,"Answer Yes or No to the following question. Answer as in the examples.
Each dumpus is a yumpus. Sterpuses are not blonde. Yumpuses are hungry. Each dumpus is blonde. Each sterpus is happy. Wren is a sterpus. Wren is a yumpus.

Question: Is Wren blonde?
Think step by step.

(1) Wren is a sterpus.
(2) Each sterpus is not blonde.
(3) Wren is not blonde.
Answer: No


Zumpuses are not blonde. Impuses are not luminous. Wumpuses are crazy. Impuses are blonde. Zumpuses are wumpus. Wren is a impus. Wren is a wumpus.

Question: Is Wren blonde?
Think step by step.

(1) Wren is a impus.
(2) Impuses are blonde.
(3) Wren is blonde.
Answer: Yes


Lempuses are not luminous. Numpuses are luminous. Each lempus is fast. Sterpuses are not large. Each numpus is a sterpus. Trux is a sterpus. Trux is a lempus.

Question: Is Trux luminous?
Think step by step.

(1) Trux is a lempus.
(2) Lempuses are not luminous.
(3) Trux is not luminous.
Answer: No


Each jompus is not tall. Each gorpus is crazy. Impuses are not hungry. Gorpuses are tall. Jompuses are impus. Wren is a impus. Wren is a gorpus.

Question: Is Wren tall?
Think step by step.
",Yes,"['Wren is a gorpus.', 'Gorpuses are tall.', 'Wren is tall.']",Yes,"['Wren is a gorpus.', 'Gorpuses are tall.', 'Wren is tall.']",True,True
3,"Answer Yes or No to the following question. Answer as in the examples.
Numpuses are happy. Each wumpus is not fast. Impuses are not tall. Each numpus is a wumpus. Each impus is not happy. Wren is a impus. Wren is a wumpus.

Question: Is Wren happy?
Think step by step.

(1) Wren is a impus.
(2) Impuses are not happy.
(3) Wren is not happy.
Answer: No


Each sterpus is not large. Each gorpus is a grimpus. Grimpuses are happy. Each sterpus is hungry. Each gorpus is large. Wren is a grimpus. Wren is a sterpus.

Question: Is Wren large?
Think step by step.

(1) Wren is a sterpus.
(2) Each sterpus is not large.
(3) Wren is not large.
Answer: No


Each zumpus is hungry. Each impus is a dumpus. Dumpuses are not heavy. Impuses are crazy. Zumpuses are not crazy. Jinx is a dumpus. Jinx is a zumpus.

Question: Is Jinx crazy?
Think step by step.

(1) Jinx is a zumpus.
(2) Each zumpus is not crazy.
(3) Jinx is not crazy.
Answer: No


Each zumpus is not hungry. Numpuses are crazy. Each lempus is not heavy. Numpuses are lempus. Zumpuses are not crazy. Wren is a lempus. Wren is a zumpus.

Question: Is Wren crazy?
Think step by step.
",No,"['Wren is a zumpus.', 'Zumpuses are not crazy.', 'Wren is not crazy.']",Yes,"['Wren is a lempus.', 'Numpuses are lempus.', 'Wren is a numpus (since Wren is a lempus and numpuses are lempus).', 'Numpuses are crazy.', 'Wren is crazy.']",False,False
4,"Answer Yes or No to the following question. Answer as in the examples.
Impuses are not blonde. Each dumpus is a sterpus. Impuses are not fast. Each sterpus is tall. Each dumpus is blonde. Grom is a impus. Grom is a sterpus.

Question: Is Grom blonde?
Think step by step.

(1) Grom is a impus.
(2) Impuses are not blonde.
(3) Grom is not blonde.
Answer: No


Shumpuses are vumpus. Vumpuses are not luminous. Wumpuses are not fast. Each shumpus is fast. Each wumpus is hungry. Trux is a wumpus. Trux is a vumpus.

Question: Is Trux fast?
Think step by step.

(1) Trux is a wumpus.
(2) Each wumpus is not fast.
(3) Trux is not fast.
Answer: No


Each dumpus is not heavy. Each wumpus is large. Sterpuses are wumpus. Each sterpus is heavy. Dumpuses are not fast. Grom is a wumpus. Grom is a dumpus.

Question: Is Grom heavy?
Think step by step.

(1) Grom is a dumpus.
(2) Dumpuses are not heavy.
(3) Grom is not heavy.
Answer: No


Sterpuses are not hungry. Yumpuses are heavy. Jompuses are yumpus. Each sterpus is not blonde. Jompuses are hungry. Trux is a sterpus. Trux is a yumpus.

Question: Is Trux hungry?
Think step by step.
",No,"['Trux is a sterpus.', 'Each sterpus is not hungry.', 'Trux is not hungry.']",Yes,"['Trux is a sterpus.', 'Sterpuses are not hungry.', 'But Trux is also a yumpus.', 'Jompuses are yumpus, and Jompuses are hungry.', 'So, Trux is hungry.']",False,False
5,"Answer Yes or No to the following question. Answer as in the examples.
Each gorpus is happy. Each tumpus is not happy. Tumpuses are blonde. Impuses are tall. Gorpuses are impus. Wren is a impus. Wren is a tumpus.

Question: Is Wren happy?
Think step by step.

(1) Wren is a tumpus.
(2) Each tumpus is not happy.
(3) Wren is not happy.
Answer: No


Dumpuses are heavy. Impuses are luminous. Each numpus is not blonde. Numpuses are impus. Each dumpus is blonde. Trux is a dumpus. Trux is a impus.

Question: Is Trux blonde?
Think step by step.

(1) Trux is a dumpus.
(2) Dumpuses are blonde.
(3) Trux is blonde.
Answer: Yes


Each vumpus is not fast. Each numpus is a vumpus. Each lorpus is not happy. Each numpus is not tall. Each lorpus is tall. Jinx is a vumpus. Jinx is a lorpus.

Question: Is Jinx tall?
Think step by step.

(1) Jinx is a lorpus.
(2) Lorpuses are tall.
(3) Jinx is tall.
Answer: Yes


Gorpuses are heavy. Each rompus is a gorpus. Each rompus is not luminous. Each grimpus is luminous. Grimpuses are not crazy. Grom is a grimpus. Grom is a gorpus.

Question: Is Grom luminous?
Think step by step.
",Yes,"['Grom is a grimpus.', 'Each grimpus is luminous.', 'Grom is luminous.']",Yes,"['Grom is a grimpus.', 'Grimpuses are luminous.', 'Grom is luminous.']",True,False
6,"Answer Yes or No to the following question. Answer as in the examples.
Each tumpus is a dumpus. Dumpuses are not crazy. Each tumpus is blonde. Shumpuses are not blonde. Shumpuses are luminous. Rast is a shumpus. Rast is a dumpus.

Question: Is Rast blonde?
Think step by step.

(1) Rast is a shumpus.
(2) Shumpuses are not blonde.
(3) Rast is not blonde.
Answer: No


Each dumpus is large. Impuses are lorpus. Dumpuses are blonde. Each impus is not blonde. Each lorpus is not luminous. Rast is a lorpus. Rast is a dumpus.

Question: Is Rast blonde?
Think step by step.

(1) Rast is a dumpus.
(2) Dumpuses are blonde.
(3) Rast is blonde.
Answer: Yes


Each gorpus is blonde. Tumpuses are not blonde. Each gorpus is a shumpus. Each tumpus is luminous. Each shumpus is not hungry. Trux is a tumpus. Trux is a shumpus.

Question: Is Trux blonde?
Think step by step.

(1) Trux is a tumpus.
(2) Each tumpus is not blonde.
(3) Trux is not blonde.
Answer: No


Zumpuses are tall. Each vumpus is a zumpus. Lempuses are not crazy. Each vumpus is crazy. Lempuses are fast. Rast is a zumpus. Rast is a lempus.

Question: Is Rast crazy?
Think step by step.
",No,"['Rast is a lempus.', 'Each lempus is not crazy.', 'Rast is not crazy.']",Yes,"['Rast is a lempus.', 'Lempuses are not crazy.', 'Rast is not crazy.', 'Rast is a zumpus.', 'Each vumpus is a zumpus.', 'Each vumpus is crazy.', 'Rast is a zumpus, and vumpuses are also zumpuses, so Rast is crazy.']",False,False
7,"Answer Yes or No to the following question. Answer as in the examples.
Each lorpus is not large. Wumpuses are not fast. Zumpuses are wumpus. Zumpuses are large. Each lorpus is tall. Grom is a wumpus. Grom is a lorpus.

Question: Is Grom large?
Think step by step.

(1) Grom is a lorpus.
(2) Lorpuses are not large.
(3) Grom is not large.
Answer: No


Lempuses are not tall. Dumpuses are not fast. Dumpuses are lempus. Each shumpus is not happy. Each shumpus is fast. Trux is a lempus. Trux is a shumpus.

Question: Is Trux fast?
Think step by step.

(1) Trux is a shumpus.
(2) Shumpuses are fast.
(3) Trux is fast.
Answer: Yes


Each brimpus is crazy. Sterpuses are brimpus. Shumpuses are tall. Sterpuses are not tall. Each shumpus is not fast. Grom is a brimpus. Grom is a shumpus.

Question: Is Grom tall?
Think step by step.

(1) Grom is a shumpus.
(2) Shumpuses are tall.
(3) Grom is tall.
Answer: Yes


Each tumpus is fast. Each dumpus is not fast. Dumpuses are grimpus. Tumpuses are not large. Each grimpus is tall. Rast is a grimpus. Rast is a tumpus.

Question: Is Rast fast?
Think step by step.
",Yes,"['Rast is a tumpus.', 'Each tumpus is fast.', 'Rast is fast.']",Yes,"['Rast is a tumpus.', 'Tumpuses are fast.', 'Rast is fast.']",True,False
8,"Answer Yes or No to the following question. Answer as in the examples.
Numpuses are not blonde. Dumpuses are not tall. Each wumpus is hungry. Each wumpus is a dumpus. Numpuses are not hungry. Jinx is a numpus. Jinx is a dumpus.

Question: Is Jinx hungry?
Think step by step.

(1) Jinx is a numpus.
(2) Numpuses are not hungry.
(3) Jinx is not hungry.
Answer: No


Lorpuses are lempus. Jompuses are happy. Each jompus is not blonde. Lorpuses are not happy. Each lempus is not fast. Wren is a lempus. Wren is a jompus.

Question: Is Wren happy?
Think step by step.

(1) Wren is a jompus.
(2) Jompuses are happy.
(3) Wren is happy.
Answer: Yes


Lorpuses are not happy. Grimpuses are not hungry. Gorpuses are tall. Each grimpus is happy. Each lorpus is a gorpus. Jinx is a grimpus. Jinx is a gorpus.

Question: Is Jinx happy?
Think step by step.

(1) Jinx is a grimpus.
(2) Each grimpus is happy.
(3) Jinx is happy.
Answer: Yes


Gorpuses are large. Each lempus is not heavy. Grimpuses are hungry. Grimpuses are heavy. Lempuses are gorpus. Trux is a grimpus. Trux is a gorpus.

Question: Is Trux heavy?
Think step by step.
",Yes,"['Trux is a grimpus.', 'Grimpuses are heavy.', 'Trux is heavy.']",Yes,"['Trux is a grimpus.', 'Grimpuses are heavy.', 'Trux is heavy.']",True,True
9,"Answer Yes or No to the following question. Answer as in the examples.
Each numpus is not hungry. Each jompus is not crazy. Each yumpus is hungry. Each yumpus is a jompus. Numpuses are large. Trux is a numpus. Trux is a jompus.

Question: Is Trux hungry?
Think step by step.

(1) Trux is a numpus.
(2) Each numpus is not hungry.
(3) Trux is not hungry.
Answer: No


Wumpuses are luminous. Sterpuses are fast. Sterpuses are hungry. Numpuses are wumpus. Numpuses are not fast. Wren is a wumpus. Wren is a sterpus.

Question: Is Wren fast?
Think step by step.

(1) Wren is a sterpus.
(2) Sterpuses are fast.
(3) Wren is fast.
Answer: Yes


Each yumpus is not fast. Each impus is blonde. Yumpuses are lorpus. Each impus is fast. Each lorpus is happy. Grom is a lorpus. Grom is a impus.

Question: Is Grom fast?
Think step by step.

(1) Grom is a impus.
(2) Each impus is fast.
(3) Grom is fast.
Answer: Yes


Each shumpus is large. Each wumpus is not tall. Each wumpus is not large. Each lorpus is fast. Each shumpus is a lorpus. Trux is a lorpus. Trux is a wumpus.

Question: Is Trux large?
Think step by step.
",No,"['Trux is a wumpus.', 'Wumpuses are not large.', 'Trux is not large.']",No,"['Trux is a lorpus.', 'Each shumpus is a lorpus.', 'Each shumpus is large.', 'Trux is a wumpus.', 'Each wumpus is not large.', 'Trux is not large.']",True,False
