prompt,answer,label,cot_gold,pred,cot_pred,correct_pred,correct_cot
"Answer to the following question as shown in the following examples.
Each numpus is a rompus. Rompuses are gorpuses. Each vumpus is fast. Each gorpus is not fast. Vumpuses are dumpuses. Grimpuses are not blonde. Each vumpus is hungry. Numpuses are heavy. Each dumpus is a grimpus. Rompuses are hungry. Wren is a numpus. Wren is a dumpus.

Question: Is Wren fast?
Think step by step.

(1) Wren is a numpus.
(2) Numpuses are rompuses.
(3) Wren is a rompus.
(4) Each rompus is a gorpus.
(5) Wren is a gorpus.
(6) Each gorpus is not fast.
(7) Wren is not fast.
Answer: No


Each sterpus is not luminous. Each dumpus is heavy. Numpuses are dumpuses. Each sterpus is a rompus. Each rompus is a vumpus. Sterpuses are heavy. Each dumpus is a tumpus. Vumpuses are tall. Tumpuses are luminous. Numpuses are not hungry. Jinx is a numpus. Jinx is a rompus.

Question: Is Jinx luminous?
Think step by step.
","Here's the answer:

(1) Jinx is a numpus.
(2) Numpuses are dumpuses.
(3) Jinx is a dumpus.
(4) Each dumpus is a tumpus.
(5) Jinx is a tumpus.
(6) Tumpuses are luminous.
(7) Jinx is luminous.

Answer: Yes",Yes,"['Jinx is a numpus.', 'Numpuses are dumpuses.', 'Jinx is a dumpus.', 'Each dumpus is a tumpus.', 'Jinx is a tumpus.', 'Tumpuses are luminous.', 'Jinx is luminous.']",Yes,"['Jinx is a numpus.', 'Numpuses are dumpuses.', 'Jinx is a dumpus.', 'Each dumpus is a tumpus.', 'Jinx is a tumpus.', 'Tumpuses are luminous.', 'Jinx is luminous.']",True,True
"Answer to the following question as shown in the following examples.
Gorpuses are heavy. Each numpus is hungry. Each rompus is not tall. Gorpuses are jompuses. Vumpuses are heavy. Shumpuses are not luminous. Gorpuses are luminous. Jompuses are rompuses. Numpuses are vumpuses. Each vumpus is a shumpus. Trux is a numpus. Trux is a jompus.

Question: Is Trux luminous?
Think step by step.

(1) Trux is a numpus.
(2) Each numpus is a vumpus.
(3) Trux is a vumpus.
(4) Each vumpus is a shumpus.
(5) Trux is a shumpus.
(6) Shumpuses are not luminous.
(7) Trux is not luminous.
Answer: No


Each sterpus is not tall. Each sterpus is a lorpus. Each vumpus is a zumpus. Each numpus is not tall. Numpuses are luminous. Lorpuses are not luminous. Dumpuses are happy. Each dumpus is a sterpus. Each zumpus is crazy. Each numpus is a vumpus. Jinx is a dumpus. Jinx is a vumpus.

Question: Is Jinx luminous?
Think step by step.
","Here's the step-by-step answer:

(1) Jinx is a dumpus.
(2) Each dumpus is a sterpus.
(3) Jinx is a sterpus.
(4) Each sterpus is a lorpus.
(5) Jinx is a lorpus.
(6) Numpuses are luminous.
(7) Jinx is a vumpus (from step 1 and ""Each numpus is a vumpus"").
(8) Since Jinx is a vumpus, and numpuses are luminous, Jinx is luminous.

Answer: Yes",No,"['Jinx is a dumpus.', 'Each dumpus is a sterpus.', 'Jinx is a sterpus.', 'Sterpuses are lorpuses.', 'Jinx is a lorpus.', 'Lorpuses are not luminous.', 'Jinx is not luminous.']",Yes,"['Jinx is a dumpus.', 'Each dumpus is a sterpus.', 'Jinx is a sterpus.', 'Each sterpus is a lorpus.', 'Jinx is a lorpus.', 'Numpuses are luminous.', 'Jinx is a vumpus (from step 1 and ""Each numpus is a vumpus"").', 'Since Jinx is a vumpus, and numpuses are luminous, Jinx is luminous.']",False,False
"Answer to the following question as shown in the following examples.
Each jompus is a lempus. Each brimpus is not happy. Each jompus is not hungry. Each brimpus is not large. Sterpuses are numpuses. Brimpuses are sterpuses. Each lempus is a vumpus. Lempuses are not large. Each vumpus is happy. Numpuses are not fast. Trux is a sterpus. Trux is a jompus.

Question: Is Trux happy?
Think step by step.

(1) Trux is a jompus.
(2) Each jompus is a lempus.
(3) Trux is a lempus.
(4) Each lempus is a vumpus.
(5) Trux is a vumpus.
(6) Each vumpus is happy.
(7) Trux is happy.
Answer: Yes


Zumpuses are tumpuses. Lempuses are crazy. Each numpus is luminous. Gorpuses are fast. Lempuses are gorpuses. Jompuses are zumpuses. Jompuses are not luminous. Jompuses are fast. Each tumpus is not blonde. Each gorpus is a numpus. Grom is a zumpus. Grom is a lempus.

Question: Is Grom luminous?
Think step by step.
","Let's break it down step by step:

(1) Grom is a zumpus.
(2) Jompuses are zumpuses.
(3) Grom is a jompus.
(4) Each jompus is a lempus.
(5) Grom is a lempus.
(6) Lempuses are gorpuses.
(7) Grom is a gorpuses.
(8) Each gorpus is a numpus.
(9) Grom is a numpus.
(10) Each numpus is luminous.
(11) Grom is luminous.

Answer: Yes",Yes,"['Grom is a lempus.', 'Each lempus is a gorpus.', 'Grom is a gorpus.', 'Gorpuses are numpuses.', 'Grom is a numpus.', 'Numpuses are luminous.', 'Grom is luminous.']",Yes,"['Grom is a zumpus.', 'Jompuses are zumpuses.', 'Grom is a jompus.', 'Each jompus is a lempus.', 'Grom is a lempus.', 'Lempuses are gorpuses.', 'Grom is a gorpuses.', 'Each gorpus is a numpus.', 'Grom is a numpus.', 'Each numpus is luminous.', 'Grom is luminous.']",True,False
"Answer to the following question as shown in the following examples.
Sterpuses are heavy. Each jompus is a tumpus. Each brimpus is crazy. Each rompus is happy. Each rompus is not crazy. Rompuses are gorpuses. Jompuses are not fast. Each tumpus is a brimpus. Each tumpus is happy. Each gorpus is a sterpus. Grom is a gorpus. Grom is a jompus.

Question: Is Grom crazy?
Think step by step.

(1) Grom is a jompus.
(2) Each jompus is a tumpus.
(3) Grom is a tumpus.
(4) Each tumpus is a brimpus.
(5) Grom is a brimpus.
(6) Brimpuses are crazy.
(7) Grom is crazy.
Answer: Yes


Each wumpus is a rompus. Dumpuses are shumpuses. Each wumpus is not happy. Impuses are crazy. Each rompus is not large. Brimpuses are fast. Each dumpus is not fast. Each rompus is a brimpus. Each dumpus is not large. Each shumpus is a impus. Jinx is a shumpus. Jinx is a wumpus.

Question: Is Jinx fast?
Think step by step.
","Let's break it down step by step:

(1) Jinx is a shumpus.
(2) Dumpuses are shumpuses.
(3) Jinx is a dumpus.
(4) Each dumpus is not fast.
(5) Jinx is not fast.

Answer: No",Yes,"['Jinx is a wumpus.', 'Each wumpus is a rompus.', 'Jinx is a rompus.', 'Rompuses are brimpuses.', 'Jinx is a brimpus.', 'Brimpuses are fast.', 'Jinx is fast.']",No,"['Jinx is a shumpus.', 'Dumpuses are shumpuses.', 'Jinx is a dumpus.', 'Each dumpus is not fast.', 'Jinx is not fast.']",False,False
"Answer to the following question as shown in the following examples.
Wumpuses are not tall. Each dumpus is not heavy. Yumpuses are shumpuses. Lempuses are wumpuses. Shumpuses are heavy. Yumpuses are not crazy. Each lorpus is a yumpus. Lorpuses are not fast. Each dumpus is a lempus. Each dumpus is not crazy. Rast is a lorpus. Rast is a lempus.

Question: Is Rast heavy?
Think step by step.

(1) Rast is a lorpus.
(2) Each lorpus is a yumpus.
(3) Rast is a yumpus.
(4) Each yumpus is a shumpus.
(5) Rast is a shumpus.
(6) Shumpuses are heavy.
(7) Rast is heavy.
Answer: Yes


Tumpuses are wumpuses. Each wumpus is not tall. Each lorpus is a tumpus. Each rompus is not happy. Each zumpus is tall. Zumpuses are not heavy. Tumpuses are not heavy. Each lorpus is not fast. Vumpuses are rompuses. Zumpuses are vumpuses. Rast is a vumpus. Rast is a lorpus.

Question: Is Rast tall?
Think step by step.
","Here's the step-by-step answer:

(1) Rast is a vumpus.
(2) Vumpuses are rompuses.
(3) Rast is a rompus.
(4) Each rompus is not happy.
(5) Rast is not happy.
(No conclusion about tallness yet)

(6) Each lorpus is a tumpus.
(7) Rast is a lorpus.
(8) Rast is a tumpus.
(9) Each tumpus is not tall.
(10) Rast is not tall.

Answer: No",No,"['Rast is a lorpus.', 'Each lorpus is a tumpus.', 'Rast is a tumpus.', 'Tumpuses are wumpuses.', 'Rast is a wumpus.', 'Wumpuses are not tall.', 'Rast is not tall.']",No,"['Rast is a vumpus.', 'Vumpuses are rompuses.', 'Rast is a rompus.', 'Each rompus is not happy.', 'Rast is not happy.', 'Each lorpus is a tumpus.', 'Rast is a lorpus.', 'Rast is a tumpus.', 'Each tumpus is not tall.', 'Rast is not tall.']",True,False
"Answer to the following question as shown in the following examples.
Each lorpus is blonde. Tumpuses are yumpuses. Each rompus is a grimpus. Tumpuses are not large. Yumpuses are wumpuses. Grimpuses are lorpuses. Grimpuses are not large. Each wumpus is not fast. Each tumpus is not blonde. Each rompus is luminous. Trux is a rompus. Trux is a yumpus.

Question: Is Trux blonde?
Think step by step.

(1) Trux is a rompus.
(2) Rompuses are grimpuses.
(3) Trux is a grimpus.
(4) Grimpuses are lorpuses.
(5) Trux is a lorpus.
(6) Lorpuses are blonde.
(7) Trux is blonde.
Answer: Yes


Each lempus is large. Each numpus is large. Lempuses are rompuses. Rompuses are lorpuses. Each numpus is a jompus. Each jompus is crazy. Gorpuses are numpuses. Each gorpus is not fast. Lorpuses are happy. Lempuses are not crazy. Rast is a rompus. Rast is a gorpus.

Question: Is Rast crazy?
Think step by step.
","Let's break it down step by step:

(1) Rast is a rompus.
(2) Rompuses are lorpuses.
(3) Rast is a lorpus.
(4) Lorpuses are happy. (Note: This statement doesn't tell us anything about Rast being crazy or not.)
(5) Rast is a gorpus.
(6) Each gorpus is not fast. (Again, this statement doesn't tell us about Rast's craziness.)
(7) Each jompus is crazy.
(8) Each numpus is a jompus.
(9) Rast is a numpus.
(10) Therefore, Rast is a jompus.
(11) Since each jompus is crazy, Rast is crazy.

Answer: Yes, Rast is crazy.",Yes,"['Rast is a gorpus.', 'Gorpuses are numpuses.', 'Rast is a numpus.', 'Each numpus is a jompus.', 'Rast is a jompus.', 'Each jompus is crazy.', 'Rast is crazy.']",Yes,"['Rast is a rompus.', 'Rompuses are lorpuses.', 'Rast is a lorpus.', ""Lorpuses are happy. (Note: This statement doesn't tell us anything about Rast being crazy or not.)"", 'Rast is a gorpus.', ""Each gorpus is not fast. (Again, this statement doesn't tell us about Rast's craziness.)"", 'Each jompus is crazy.', 'Each numpus is a jompus.', 'Rast is a numpus.', 'Therefore, Rast is a jompus.', 'Since each jompus is crazy, Rast is crazy.']",True,False
"Answer to the following question as shown in the following examples.
Each lempus is crazy. Each gorpus is blonde. Each lempus is a dumpus. Brimpuses are not fast. Shumpuses are numpuses. Brimpuses are lempuses. Shumpuses are not happy. Each dumpus is happy. Numpuses are gorpuses. Shumpuses are crazy. Trux is a brimpus. Trux is a numpus.

Question: Is Trux happy?
Think step by step.

(1) Trux is a brimpus.
(2) Brimpuses are lempuses.
(3) Trux is a lempus.
(4) Lempuses are dumpuses.
(5) Trux is a dumpus.
(6) Each dumpus is happy.
(7) Trux is happy.
Answer: Yes


Zumpuses are vumpuses. Each zumpus is not fast. Wumpuses are zumpuses. Vumpuses are not large. Each wumpus is not heavy. Dumpuses are large. Dumpuses are yumpuses. Dumpuses are not fast. Each jompus is blonde. Yumpuses are jompuses. Grom is a yumpus. Grom is a wumpus.

Question: Is Grom large?
Think step by step.
","Here's the step-by-step answer:

(1) Grom is a yumpus.
(2) Dumpuses are yumpuses.
(3) Grom is a dumpus.
(4) Dumpuses are large.
(5) Grom is large.

Answer: Yes",No,"['Grom is a wumpus.', 'Wumpuses are zumpuses.', 'Grom is a zumpus.', 'Zumpuses are vumpuses.', 'Grom is a vumpus.', 'Each vumpus is not large.', 'Grom is not large.']",Yes,"['Grom is a yumpus.', 'Dumpuses are yumpuses.', 'Grom is a dumpus.', 'Dumpuses are large.', 'Grom is large.']",False,False
"Answer to the following question as shown in the following examples.
Each lempus is hungry. Vumpuses are yumpuses. Vumpuses are not tall. Each shumpus is crazy. Jompuses are sterpuses. Each yumpus is a lempus. Each sterpus is a shumpus. Jompuses are not hungry. Each jompus is not heavy. Yumpuses are not heavy. Jinx is a sterpus. Jinx is a vumpus.

Question: Is Jinx hungry?
Think step by step.

(1) Jinx is a vumpus.
(2) Each vumpus is a yumpus.
(3) Jinx is a yumpus.
(4) Each yumpus is a lempus.
(5) Jinx is a lempus.
(6) Lempuses are hungry.
(7) Jinx is hungry.
Answer: Yes


Each grimpus is large. Grimpuses are not fast. Each brimpus is not fast. Grimpuses are jompuses. Yumpuses are hungry. Each jompus is a gorpus. Each brimpus is a vumpus. Each gorpus is happy. Vumpuses are not large. Each yumpus is a brimpus. Trux is a yumpus. Trux is a jompus.

Question: Is Trux large?
Think step by step.
","Let's break it down step by step:

(1) Trux is a yumpus.
(2) Each yumpus is a brimpus.
(3) Trux is a brimpus.
(4) Each brimpus is a vumpus.
(5) Trux is a vumpus.
(6) Vumpuses are not large.
(7) Trux is not large.

Answer: No",No,"['Trux is a yumpus.', 'Yumpuses are brimpuses.', 'Trux is a brimpus.', 'Each brimpus is a vumpus.', 'Trux is a vumpus.', 'Vumpuses are not large.', 'Trux is not large.']",No,"['Trux is a yumpus.', 'Each yumpus is a brimpus.', 'Trux is a brimpus.', 'Each brimpus is a vumpus.', 'Trux is a vumpus.', 'Vumpuses are not large.', 'Trux is not large.']",True,True
"Answer to the following question as shown in the following examples.
Numpuses are grimpuses. Numpuses are fast. Each shumpus is crazy. Each lempus is large. Lempuses are rompuses. Each sterpus is hungry. Each grimpus is large. Rompuses are shumpuses. Lempuses are not hungry. Each grimpus is a sterpus. Rast is a numpus. Rast is a rompus.

Question: Is Rast hungry?
Think step by step.

(1) Rast is a numpus.
(2) Numpuses are grimpuses.
(3) Rast is a grimpus.
(4) Each grimpus is a sterpus.
(5) Rast is a sterpus.
(6) Sterpuses are hungry.
(7) Rast is hungry.
Answer: Yes


Each numpus is not hungry. Each shumpus is not tall. Rompuses are lorpuses. Zumpuses are not heavy. Each rompus is happy. Shumpuses are tumpuses. Each tumpus is happy. Each tumpus is a numpus. Rompuses are hungry. Lorpuses are zumpuses. Wren is a shumpus. Wren is a lorpus.

Question: Is Wren hungry?
Think step by step.
","Here's the step-by-step answer:

(1) Wren is a shumpus.
(2) Shumpuses are tumpuses.
(3) Wren is a tumpus.
(4) Each tumpus is a numpus.
(5) Wren is a numpus.
(6) Each numpus is not hungry.
(7) Wren is not hungry.

Answer: No",No,"['Wren is a shumpus.', 'Shumpuses are tumpuses.', 'Wren is a tumpus.', 'Each tumpus is a numpus.', 'Wren is a numpus.', 'Numpuses are not hungry.', 'Wren is not hungry.']",No,"['Wren is a shumpus.', 'Shumpuses are tumpuses.', 'Wren is a tumpus.', 'Each tumpus is a numpus.', 'Wren is a numpus.', 'Each numpus is not hungry.', 'Wren is not hungry.']",True,True
"Answer to the following question as shown in the following examples.
Each numpus is a wumpus. Each sterpus is blonde. Grimpuses are rompuses. Each wumpus is a gorpus. Each grimpus is not hungry. Each rompus is not happy. Each numpus is not blonde. Gorpuses are not crazy. Rompuses are sterpuses. Numpuses are not happy. Wren is a grimpus. Wren is a wumpus.

Question: Is Wren blonde?
Think step by step.

(1) Wren is a grimpus.
(2) Each grimpus is a rompus.
(3) Wren is a rompus.
(4) Rompuses are sterpuses.
(5) Wren is a sterpus.
(6) Sterpuses are blonde.
(7) Wren is blonde.
Answer: Yes


Sterpuses are not heavy. Sterpuses are brimpuses. Each grimpus is a jompus. Each lorpus is large. Tumpuses are not large. Each jompus is hungry. Brimpuses are lorpuses. Each tumpus is blonde. Tumpuses are grimpuses. Brimpuses are blonde. Grom is a grimpus. Grom is a sterpus.

Question: Is Grom large?
Think step by step.
","Let's break it down step by step:

(1) Grom is a grimpus.
(2) Each grimpus is a jompus.
(3) Grom is a jompus.
(4) Each jompus is hungry. (This statement doesn't help us with the question, so we can ignore it for now.)
(5) Grom is a sterpus.
(6) Sterpuses are not large.
(7) Grom is not large.

Answer: No",Yes,"['Grom is a sterpus.', 'Each sterpus is a brimpus.', 'Grom is a brimpus.', 'Each brimpus is a lorpus.', 'Grom is a lorpus.', 'Lorpuses are large.', 'Grom is large.']",No,"['Grom is a grimpus.', 'Each grimpus is a jompus.', 'Grom is a jompus.', ""Each jompus is hungry. (This statement doesn't help us with the question, so we can ignore it for now.)"", 'Grom is a sterpus.', 'Sterpuses are not large.', 'Grom is not large.']",False,False
