prompt,label,prompt_corr,cot_gold,pred,cot_pred,correct_pred,correct_cot
"Answer True or False to the following question. Answer as in the examples.

Gorpuses are sterpuses. Gorpuses are grimpuses. Every dumpus is a jompus. Every grimpus is a shumpus. Gorpuses are not small. Sterpuses are liquid. Every shumpus is not muffled. Dumpuses are bright. Each grimpus is a brimpus. Every grimpus is not cold. Wren is a dumpus. Wren is a grimpus.
Question: Is Wren cold?
Think step-by-step.

",False,"Answer True or False to the following question. Answer as in the examples.

Gorpuses are sterpuses. Gorpuses are grimpuses. Every dumpus is a jompus. Every grimpus is a shumpus. Gorpuses are not small. Sterpuses are liquid. Every shumpus is not muffled. Dumpuses are bright. Each grimpus is a brimpus. Every grimpus is not cold. Wren is a dumpus. Wren is not a grimpus.
Question: Is Wren cold?
Think step-by-step.

","['Every grimpus is not cold.', 'Wren is a grimpus.', 'Wren is not cold.']",**False**,[],False,True
"Answer True or False to the following question. Answer as in the examples.

Impuses are not orange. Each rompus is a tumpus. Each lorpus is a dumpus. Each tumpus is large. Every tumpus is a lorpus. Lorpuses are not luminous. Numpuses are not bitter. Every impus is a jompus. Lorpuses are numpuses. Every numpus is a yumpus. Lempuses are melodic. Vumpuses are not angry. Each tumpus is a vumpus. Each yumpus is bright. Rompuses are lempuses. Dumpuses are not hot. Numpuses are zumpuses. Every rompus is not fast. Polly is a lorpus. Polly is an impus.
Question: Is Polly luminous?
Think step-by-step.

",False,"Answer True or False to the following question. Answer as in the examples.

Impuses are not orange. Each rompus is a tumpus. Each lorpus is a dumpus. Each tumpus is large. Every tumpus is a lorpus. Lorpuses are not luminous. Numpuses are not bitter. Every impus is a jompus. Lorpuses are numpuses. Every numpus is a yumpus. Lempuses are melodic. Vumpuses are not angry. Each tumpus is a vumpus. Each yumpus is bright. Rompuses are lempuses. Dumpuses are not hot. Numpuses are zumpuses. Every rompus is not fast. Polly is not a lorpus. Polly is an impus.
Question: Is Polly luminous?
Think step-by-step.

","['Lorpuses are not luminous.', 'Polly is a lorpus.', 'Polly is not luminous.']",NaN,[],False,True
"Answer True or False to the following question. Answer as in the examples.

Wumpuses are bitter. Each grimpus is a zumpus. Tumpuses are small. Every wumpus is an impus. Grimpuses are not transparent. Wumpuses are tumpuses. Max is a grimpus. Max is a wumpus.
Question: Is Max bitter?
Think step-by-step.

",True,"Answer True or False to the following question. Answer as in the examples.

Wumpuses are bitter. Each grimpus is a zumpus. Tumpuses are small. Every wumpus is an impus. Grimpuses are not transparent. Wumpuses are tumpuses. Max is a grimpus. Max is not a wumpus.
Question: Is Max bitter?
Think step-by-step.

","['Wumpuses are bitter.', 'Max is a wumpus.', 'Max is bitter.']",NaN,[],False,True
"Answer True or False to the following question. Answer as in the examples.

Each impus is a sterpus. Each zumpus is a wumpus. Every tumpus is aggressive. Each brimpus is a jompus. Brimpuses are windy. Each numpus is not bitter. Impuses are gorpuses. Wumpuses are impuses. Wumpuses are bright. Lempuses are blue. Shumpuses are happy. Numpuses are tumpuses. Every impus is fruity. Numpuses are lempuses. Each sterpus is not liquid. Each tumpus is a dumpus. Dumpuses are not slow. Zumpuses are not cold. Each zumpus is a vumpus. Every vumpus is not small. Every tumpus is a zumpus. Wumpuses are shumpuses. Polly is a zumpus. Polly is a brimpus.
Question: Is Polly cold?
Think step-by-step.

",False,"Answer True or False to the following question. Answer as in the examples.

Each impus is a sterpus. Each zumpus is a wumpus. Every tumpus is aggressive. Each brimpus is a jompus. Brimpuses are windy. Each numpus is not bitter. Impuses are gorpuses. Wumpuses are impuses. Wumpuses are bright. Lempuses are blue. Shumpuses are happy. Numpuses are tumpuses. Every impus is fruity. Numpuses are lempuses. Each sterpus is not liquid. Each tumpus is a dumpus. Dumpuses are not slow. Zumpuses are not cold. Each zumpus is a vumpus. Every vumpus is not small. Every tumpus is a zumpus. Wumpuses are shumpuses. Polly is not a zumpus. Polly is a brimpus.
Question: Is Polly cold?
Think step-by-step.

","['Zumpuses are not cold.', 'Polly is a zumpus.', 'Polly is not cold.']",NaN,[],False,True
"Answer True or False to the following question. Answer as in the examples.

Sterpuses are cold. Yumpuses are grimpuses. Dumpuses are numpuses. Every zumpus is a wumpus. Every sterpus is a zumpus. Lempuses are lorpuses. Lorpuses are not discordant. Dumpuses are not small. Every zumpus is sunny. Each yumpus is not aggressive. Every lempus is a sterpus. Grimpuses are not feisty. Every zumpus is a rompus. Each brimpus is fast. Sterpuses are brimpuses. Wumpuses are floral. Yumpuses are lempuses. Lempuses are not bright. Sally is a dumpus. Sally is a zumpus.
Question: Is Sally sunny?
Think step-by-step.

",True,"Answer True or False to the following question. Answer as in the examples.

Sterpuses are cold. Yumpuses are grimpuses. Dumpuses are numpuses. Every zumpus is a wumpus. Every sterpus is a zumpus. Lempuses are lorpuses. Lorpuses are not discordant. Dumpuses are not small. Every zumpus is sunny. Each yumpus is not aggressive. Every lempus is a sterpus. Grimpuses are not feisty. Every zumpus is a rompus. Each brimpus is fast. Sterpuses are brimpuses. Wumpuses are floral. Yumpuses are lempuses. Lempuses are not bright. Sally is a dumpus. Sally is not a zumpus.
Question: Is Sally sunny?
Think step-by-step.

","['Every zumpus is sunny.', 'Sally is a zumpus.', 'Sally is sunny.']",TRUE,[],False,True
"Answer True or False to the following question. Answer as in the examples.

Every lorpus is earthy. Each lorpus is a jompus. Each tumpus is melodic. Each lorpus is a tumpus. Each wumpus is nervous. Every wumpus is a dumpus. Rex is a wumpus. Rex is a lorpus.
Question: Is Rex earthy?
Think step-by-step.

",True,"Answer True or False to the following question. Answer as in the examples.

Every lorpus is earthy. Each lorpus is a jompus. Each tumpus is melodic. Each lorpus is a tumpus. Each wumpus is nervous. Every wumpus is a dumpus. Rex is a wumpus. Rex is not a lorpus.
Question: Is Rex earthy?
Think step-by-step.

","['Every lorpus is earthy.', 'Rex is a lorpus.', 'Rex is earthy.']",NaN,[],False,True
"Answer True or False to the following question. Answer as in the examples.

Each impus is a dumpus. Each impus is a lorpus. Every shumpus is a wumpus. Grimpuses are shy. Every sterpus is not large. Each vumpus is not brown. Each brimpus is overcast. Wumpuses are zumpuses. Sterpuses are impuses. Impuses are muffled. Shumpuses are vumpuses. Every shumpus is not dull. Sterpuses are brimpuses. Each grimpus is a yumpus. Each lorpus is opaque. Zumpuses are moderate. Wumpuses are sterpuses. Wumpuses are spicy. Sam is a wumpus. Sam is a grimpus.
Question: Is Sam spicy?
Think step-by-step.

",True,"Answer True or False to the following question. Answer as in the examples.

Each impus is a dumpus. Each impus is a lorpus. Every shumpus is a wumpus. Grimpuses are shy. Every sterpus is not large. Each vumpus is not brown. Each brimpus is overcast. Wumpuses are zumpuses. Sterpuses are impuses. Impuses are muffled. Shumpuses are vumpuses. Every shumpus is not dull. Sterpuses are brimpuses. Each grimpus is a yumpus. Each lorpus is opaque. Zumpuses are moderate. Wumpuses are sterpuses. Wumpuses are spicy. Sam is not a wumpus. Sam is a grimpus.
Question: Is Sam spicy?
Think step-by-step.

","['Wumpuses are spicy.', 'Sam is a wumpus.', 'Sam is spicy.']",NaN,[],False,True
"Answer True or False to the following question. Answer as in the examples.

Sterpuses are brimpuses. Each sterpus is a numpus. Gorpuses are rompuses. Numpuses are brown. Gorpuses are not dull. Sterpuses are not floral. Wren is a sterpus. Wren is a gorpus.
Question: Is Wren floral?
Think step-by-step.

",False,"Answer True or False to the following question. Answer as in the examples.

Sterpuses are brimpuses. Each sterpus is a numpus. Gorpuses are rompuses. Numpuses are brown. Gorpuses are not dull. Sterpuses are not floral. Wren is not a sterpus. Wren is a gorpus.
Question: Is Wren floral?
Think step-by-step.

","['Sterpuses are not floral.', 'Wren is a sterpus.', 'Wren is not floral.']",NaN,[],False,True
"Answer True or False to the following question. Answer as in the examples.

Numpuses are not fruity. Tumpuses are not snowy. Zumpuses are opaque. Each grimpus is a rompus. Numpuses are tumpuses. Brimpuses are not shy. Grimpuses are sour. Zumpuses are wumpuses. Each numpus is a grimpus. Each grimpus is a brimpus. Stella is a zumpus. Stella is a numpus.
Question: Is Stella fruity?
Think step-by-step.

",False,"Answer True or False to the following question. Answer as in the examples.

Numpuses are not fruity. Tumpuses are not snowy. Zumpuses are opaque. Each grimpus is a rompus. Numpuses are tumpuses. Brimpuses are not shy. Grimpuses are sour. Zumpuses are wumpuses. Each numpus is a grimpus. Each grimpus is a brimpus. Stella is a zumpus. Stella is not a numpus.
Question: Is Stella fruity?
Think step-by-step.

","['Numpuses are not fruity.', 'Stella is a numpus.', 'Stella is not fruity.']",NaN,[],False,True
"Answer True or False to the following question. Answer as in the examples.

Grimpuses are impuses. Each grimpus is a lempus. Each grimpus is not nervous. Every impus is liquid. Shumpuses are numpuses. Every shumpus is not angry. Sam is a shumpus. Sam is a grimpus.
Question: Is Sam nervous?
Think step-by-step.

",False,"Answer True or False to the following question. Answer as in the examples.

Grimpuses are impuses. Each grimpus is a lempus. Each grimpus is not nervous. Every impus is liquid. Shumpuses are numpuses. Every shumpus is not angry. Sam is a shumpus. Sam is not a grimpus.
Question: Is Sam nervous?
Think step-by-step.

","['Each grimpus is not nervous.', 'Sam is a grimpus.', 'Sam is not nervous.']",NaN,[],False,True
